,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,WIFI,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
1535,5,5,5,5,5,5,5,5,6,3,3,4,3,4,5
1536,5,3,3,4,4,4,3,3,3,4,4,4,4,6,4
1537,6,5,5,5,5,5,6,6,4,0,0,0,0,0,0
1538,4,4,4,4,4,4,4,4,5,6,6,6,6,6,4
1539,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1540,4,3,4,5,5,5,3,5,3,4,6,4,6,5,4
1541,6,3,6,3,3,3,3,3,4,3,6,4,6,3,3
1542,5,4,3,4,3,3,6,6,6,3,6,6,6,6,3
1543,4,3,3,3,4,3,3,3,4,0,0,0,0,0,4
1544,5,4,4,5,5,5,6,6,5,6,6,4,6,6,5
1545,3,3,3,3,4,4,3,3,3,4,4,4,6,6,3
1546,4,4,4,4,5,5,6,6,6,4,6,5,6,5,5
1547,4,4,6,4,5,4,4,4,5,5,6,6,6,6,5
1548,5,6,6,5,5,5,5,5,5,6,6,6,6,6,5
1549,4,6,5,5,5,5,5,5,5,5,6,6,6,6,5
1550,6,6,6,4,6,4,6,6,6,6,6,6,6,6,4
1551,3,6,3,4,4,4,6,6,6,4,4,4,6,6,4
1552,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1553,5,4,4,4,5,5,6,5,6,4,6,6,6,6,4
1554,5,4,4,3,4,5,6,6,5,4,4,4,4,6,4
1555,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1556,5,5,5,5,5,5,6,6,6,4,6,5,6,6,5
1557,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4
1558,2,2,3,5,5,5,6,6,6,6,6,5,6,5,3
1559,4,6,6,4,6,5,6,6,3,6,6,6,6,6,4
1560,4,4,6,5,5,6,6,6,3,6,6,6,6,6,0
1561,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3
1562,3,3,3,4,4,4,6,6,4,4,6,4,6,4,4
1563,6,6,0,3,4,4,6,6,5,4,6,6,6,6,4
1564,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1565,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
1566,6,3,3,4,4,6,6,6,5,3,6,4,6,3,4
1567,5,3,3,4,4,4,6,6,6,6,6,6,6,6,4
1568,4,3,3,4,4,4,4,4,4,4,4,0,6,4,4
1569,5,3,4,3,4,4,6,6,3,4,4,4,6,1,4
1570,5,1,4,5,5,4,3,3,5,4,6,2,3,2,4
1571,5,5,6,5,5,5,6,6,6,6,6,6,6,6,5
1572,3,2,2,4,4,4,4,4,5,6,6,6,6,6,4
1573,3,3,6,4,4,4,6,6,4,6,6,6,6,6,4
1574,4,4,4,4,4,5,5,5,3,5,5,5,5,5,4
1575,4,2,4,5,5,4,6,6,6,5,6,5,6,6,4
1576,4,3,3,4,3,4,3,3,3,3,2,4,3,3,4
1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1578,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5
1579,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1580,2,2,2,2,2,2,2,2,4,4,6,6,6,6,2
1581,4,4,4,4,4,4,4,4,3,4,4,4,6,4,4
1582,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1583,4,4,4,4,4,4,4,4,6,4,4,6,6,6,5
1584,6,3,3,3,4,6,6,6,4,2,6,6,6,4,3
1585,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1586,5,4,4,4,4,4,4,4,4,4,4,4,4,4,0
1587,4,4,4,5,5,4,6,6,6,5,6,5,6,5,4
1588,6,6,2,4,4,5,6,6,4,4,6,6,6,6,0
1589,5,6,4,5,5,4,6,6,6,6,3,5,6,6,4
1590,6,3,3,4,4,6,6,6,4,4,6,6,6,6,4
1591,5,3,4,4,5,5,6,6,5,6,6,6,6,6,4
1592,2,3,3,4,3,4,4,4,3,5,6,5,6,4,4
1593,4,3,6,3,4,4,6,6,6,6,6,6,6,6,4
1594,5,4,6,5,5,5,5,5,6,6,6,5,6,6,5
1595,4,2,3,5,5,5,6,6,5,6,6,6,6,6,4
1596,6,4,4,5,5,4,4,3,5,5,6,3,6,6,4
1597,6,3,4,2,3,3,4,4,6,3,6,3,6,3,3
1598,4,4,4,5,5,4,6,6,6,6,6,6,6,6,5
1599,4,4,4,4,4,4,6,6,5,6,6,4,6,6,4
1600,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5
1601,5,5,5,5,5,5,6,6,6,6,6,5,6,6,5
1602,6,4,4,4,5,4,6,6,5,6,6,6,6,6,4
1603,5,5,5,5,6,5,6,6,6,5,6,6,6,6,5
1604,4,4,4,5,5,5,6,6,4,6,6,5,6,6,4
1605,5,4,6,5,5,5,6,6,5,5,4,4,6,6,4
1606,3,4,4,1,1,4,6,6,6,1,6,4,6,4,4
1607,4,6,4,4,6,0,6,6,6,4,6,6,6,6,4
1608,3,4,6,0,2,1,6,6,6,6,6,6,6,6,4
1609,5,6,6,5,5,5,6,6,6,4,4,4,6,6,5
1610,4,6,4,5,5,5,6,6,6,4,6,4,6,4,4
1611,6,4,6,1,5,5,1,1,6,6,6,6,6,6,4
1612,3,3,3,2,2,1,1,1,5,3,3,2,6,6,3
1613,4,3,6,3,3,2,6,6,6,3,3,4,4,4,4
1614,5,5,4,5,5,5,4,5,4,4,5,5,5,5,5
1615,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4
1616,4,2,2,3,3,4,6,6,6,6,3,6,6,3,4
1617,4,5,4,4,4,4,6,6,4,3,3,6,3,3,4
1618,5,5,5,5,5,5,3,3,5,4,5,6,5,5,5
1619,5,5,6,5,5,5,0,0,5,5,5,6,6,6,5
1620,4,4,4,3,3,3,3,3,1,3,2,3,3,3,3
1621,5,5,5,5,5,5,6,6,5,5,5,5,6,5,5
1622,5,3,4,4,4,5,3,3,2,3,3,4,3,3,3
1623,5,4,4,4,4,4,4,4,6,5,5,5,6,6,5
1624,4,4,4,4,4,3,3,4,2,4,4,3,2,2,4
1625,5,3,3,4,4,3,3,3,3,1,6,4,6,6,4
1626,4,4,4,3,4,4,3,3,2,3,3,4,3,2,4
1627,3,4,4,3,3,3,3,3,3,6,6,6,6,6,4
1628,6,4,4,4,4,4,6,6,1,4,6,4,6,3,4
1629,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4
1630,3,3,3,4,4,3,6,6,6,4,4,4,6,6,4
1631,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1632,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1633,3,4,4,5,5,5,5,5,5,6,6,6,6,6,5
1634,4,6,4,4,6,4,6,6,6,3,6,6,6,6,4
1635,6,4,4,5,5,5,6,6,2,4,6,5,6,6,4
1636,6,4,4,5,5,5,6,6,1,6,6,4,6,6,4
1637,6,3,3,4,3,4,6,6,5,4,3,4,4,6,3
1638,6,3,3,3,3,3,3,3,6,4,6,6,6,6,4
1639,4,3,3,5,4,4,6,6,4,6,6,6,6,6,5
1640,6,6,2,5,4,4,3,3,6,6,6,6,6,6,4
1641,4,4,4,5,4,4,6,6,5,5,6,6,6,6,4
1642,5,4,4,4,6,6,6,6,5,2,6,6,6,6,5
1643,4,4,4,5,5,5,6,6,6,3,3,6,3,6,4
1644,5,4,4,5,5,5,5,5,5,5,5,5,6,5,5
1645,4,4,4,4,4,4,6,6,6,4,4,6,3,6,4
