,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,WIFI,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
0,6,6,6,3,3,3,6,6,4,6,6,6,6,6,4
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,5,5,4,4,4,4,6,6,5,6,6,6,6,6,4
3,5,5,5,5,5,5,3,3,3,4,4,4,4,4,4
4,6,3,3,4,4,4,4,4,2,4,6,6,6,6,4
5,3,3,3,4,4,4,3,6,3,4,4,6,6,6,4
6,4,4,3,3,3,4,4,4,4,3,0,4,4,4,4
7,6,4,6,4,4,4,6,6,6,6,6,6,6,6,4
8,5,3,4,5,5,5,5,5,5,6,6,6,6,6,4
9,6,4,4,5,5,5,6,6,4,6,6,6,6,6,5
10,6,3,0,4,4,4,0,0,0,0,0,0,0,0,4
11,3,3,3,3,3,1,3,3,4,3,3,3,3,3,3
12,4,3,3,4,4,4,3,3,5,6,6,6,6,6,0
13,5,3,4,5,5,5,5,5,5,6,6,6,6,6,4
14,5,5,5,5,4,5,6,6,5,0,0,0,0,0,5
15,0,5,4,4,5,5,5,5,5,0,0,0,0,0,5
16,3,4,5,4,3,4,6,6,6,6,6,6,6,6,4
17,5,3,3,4,3,5,3,3,5,6,6,6,6,6,0
18,6,5,4,5,5,5,6,6,6,6,6,6,6,6,4
19,5,3,5,4,4,4,6,6,6,4,6,5,6,5,5
20,3,3,3,5,5,5,6,6,4,4,4,4,6,6,4
21,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
22,3,3,5,5,5,5,6,6,4,4,3,4,6,6,4
23,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3
24,3,3,3,3,3,3,2,3,6,6,6,6,6,6,3
25,4,4,4,4,4,4,4,4,4,6,6,6,6,6,4
26,4,4,4,4,4,4,4,4,4,6,6,4,6,6,0
27,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
28,4,3,3,4,4,3,6,2,5,5,5,3,3,3,4
29,4,4,3,4,4,0,5,3,5,6,6,6,6,6,4
30,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5
31,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1
32,5,2,4,5,5,5,4,5,5,6,6,6,6,6,4
33,5,4,4,4,5,5,5,5,5,5,6,4,6,5,5
34,2,1,2,4,4,3,3,3,4,3,3,4,3,4,2
35,6,3,3,4,4,4,4,4,5,6,6,6,6,6,4
36,6,2,3,4,4,6,6,6,5,6,6,6,6,6,3
37,3,3,3,4,4,4,4,4,3,5,4,6,6,6,4
38,6,3,6,3,3,2,3,0,5,6,6,6,6,6,3
39,6,6,6,4,4,4,4,4,4,6,6,6,6,6,4
40,3,3,3,3,4,4,4,4,5,3,3,6,6,6,4
41,4,4,4,4,4,4,4,4,6,6,6,6,6,6,4
42,6,1,3,4,4,4,6,6,2,5,5,6,6,3,4
43,2,3,3,4,6,4,6,6,6,1,3,4,6,4,4
44,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
45,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46,4,6,6,4,4,4,6,6,6,6,6,4,6,6,4
47,6,3,3,3,6,3,3,3,3,3,6,6,6,6,3
48,3,2,3,3,4,0,0,0,0,0,0,0,0,0,0
49,4,3,3,4,4,4,6,6,5,4,4,4,4,4,4
50,4,3,3,4,4,4,4,3,4,4,5,4,4,4,4
51,4,5,6,4,6,6,6,6,4,6,6,6,6,6,5
52,3,3,3,4,3,4,4,4,4,5,6,4,4,6,3
53,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
54,3,3,3,4,4,3,4,6,6,6,6,6,6,6,3
55,3,4,4,4,4,4,2,2,6,2,2,2,6,6,3
56,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4
57,4,4,4,5,5,5,5,5,4,4,6,5,6,6,0
58,3,3,4,4,5,5,5,5,5,4,4,4,4,3,5
59,3,4,3,4,4,4,4,4,4,4,4,4,6,4,4
60,6,3,6,4,4,4,4,4,5,6,6,6,6,6,4
61,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
62,5,5,6,5,6,4,6,6,6,4,6,6,6,6,4
63,5,5,5,5,5,5,6,6,3,4,6,4,6,4,4
64,4,4,5,4,5,4,3,3,4,4,6,2,6,3,4
65,4,4,4,3,4,4,4,4,3,2,3,3,6,6,4
66,5,5,5,5,5,5,5,5,5,3,3,6,6,6,4
67,4,4,4,5,5,4,4,4,5,4,4,5,6,4,4
68,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5
69,4,4,4,4,4,3,3,3,4,3,6,4,6,6,4
70,3,3,2,3,3,3,3,3,4,3,6,6,6,6,3
71,4,4,4,5,5,5,3,4,1,2,2,4,6,6,4
72,3,4,2,3,4,3,3,3,4,6,6,4,6,6,4
73,2,2,2,5,5,5,4,4,4,3,4,4,3,3,4
74,2,2,3,3,3,3,2,2,3,2,3,2,3,3,3
75,2,2,2,2,2,3,3,3,3,4,3,3,4,4,3
76,3,3,3,4,4,4,3,3,3,4,4,3,3,4,4
77,5,4,6,4,6,4,6,6,6,5,6,6,6,6,4
