,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,WIFI,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
0,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
1,4,4,4,4,4,3,3,3,6,4,6,6,6,6,4
2,3,4,4,2,4,4,2,2,3,2,3,4,6,4,0
3,3,3,3,4,4,4,4,4,4,5,4,4,4,3,4
4,3,3,2,3,5,5,6,6,5,5,6,5,6,4,4
5,4,3,2,3,3,3,6,6,1,2,3,4,3,6,4
6,3,3,6,5,5,5,6,6,6,5,5,6,6,6,4
7,5,4,5,4,5,5,4,4,5,5,5,5,5,6,5
8,5,5,4,5,5,5,6,6,5,5,4,6,6,6,4
9,3,3,3,3,3,5,5,5,5,3,3,3,3,3,4
10,3,3,3,3,3,3,3,3,6,4,6,4,6,6,4
11,4,4,4,4,4,4,6,6,6,4,6,6,4,6,4
12,4,3,3,4,4,3,6,6,4,4,6,4,6,6,4
13,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
14,4,6,6,5,5,5,6,6,6,3,4,6,6,6,5
15,3,3,3,4,4,3,6,6,6,4,0,6,6,6,4
16,2,1,2,3,3,3,4,6,1,6,6,5,6,6,3
17,5,4,4,5,3,4,4,4,3,4,4,6,3,6,4
18,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5
19,6,4,4,4,4,4,6,6,3,6,6,6,6,6,4
20,3,6,6,4,4,4,6,6,4,6,6,6,6,6,4
21,3,3,3,5,5,5,4,4,5,6,6,5,6,5,4
22,5,5,5,3,4,3,6,6,3,4,4,6,4,6,4
23,6,6,6,4,4,4,6,6,6,6,6,6,6,6,4
24,4,4,5,4,4,4,4,4,6,4,4,6,6,6,4
25,4,2,2,3,3,3,3,3,5,3,2,4,3,3,3
26,4,2,2,3,4,3,3,3,3,3,4,6,6,6,4
27,6,6,0,5,5,5,5,5,5,5,5,6,6,6,6
28,4,3,3,4,4,3,6,6,4,3,4,4,3,3,4
29,5,3,5,5,5,5,4,5,5,4,4,5,0,5,5
30,6,3,3,4,4,4,6,6,5,4,3,4,6,6,5
31,4,3,4,4,5,5,6,6,6,4,3,4,6,6,4
32,4,5,4,4,5,3,4,4,5,5,5,4,5,4,5
33,3,3,3,4,3,3,6,6,6,5,5,6,5,6,3
34,4,3,3,3,4,4,4,4,2,3,3,4,3,6,4
35,4,3,3,4,3,4,3,3,3,4,4,4,6,6,3
36,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4
37,3,2,3,4,3,4,6,6,6,3,2,6,2,6,4
38,3,2,2,3,3,2,3,3,3,3,3,4,3,3,3
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,4,4,4,5,2,6,0,5,4,4,6,4,6,3
41,6,4,6,5,5,5,4,4,6,5,5,5,6,6,4
42,6,3,3,4,3,4,6,6,4,6,6,6,6,6,3
43,5,4,4,5,4,5,6,6,6,5,6,6,6,6,4
44,4,3,3,5,5,5,6,6,4,6,6,6,6,6,4
45,6,3,6,0,5,5,6,6,6,6,6,5,6,0,4
46,6,3,4,4,6,2,6,6,6,6,6,6,6,6,4
47,6,6,4,4,4,4,6,6,6,6,6,6,6,6,4
48,3,5,3,4,4,4,6,6,4,5,6,6,6,6,4
49,5,3,3,4,5,4,5,5,5,6,6,5,6,6,5
50,5,4,4,4,5,5,6,6,5,6,6,5,6,6,0
51,5,6,2,4,4,6,6,0,6,6,6,6,6,6,4
52,5,3,3,4,4,4,6,6,6,6,6,6,6,6,5
53,4,4,4,4,4,5,3,3,6,6,6,6,6,6,4
54,6,3,4,5,4,4,6,6,5,6,6,5,6,6,4
55,3,3,3,3,3,3,3,3,3,4,6,3,6,3,3
56,3,3,3,4,4,4,6,6,4,4,6,5,6,6,4
57,5,6,6,3,5,5,6,5,5,6,6,5,6,6,4
58,5,3,3,3,3,4,3,3,1,3,3,4,4,4,4
59,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5
60,6,6,6,5,5,6,0,6,6,6,6,6,6,6,4
61,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5
62,4,3,6,5,5,5,5,5,6,6,6,6,6,6,5
63,5,5,5,5,5,5,5,5,5,4,6,4,6,6,4
64,3,4,4,3,3,4,6,6,6,6,6,5,6,6,4
65,6,3,3,3,3,2,6,6,2,3,6,6,6,6,3
66,5,5,5,4,4,3,6,6,4,4,4,4,6,6,4
67,3,3,3,2,2,0,3,3,3,3,3,3,3,3,3
68,6,4,6,6,6,6,6,6,6,6,6,6,6,6,4
69,5,5,3,3,4,4,3,3,1,6,6,6,6,6,3
70,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
71,6,3,3,2,1,4,3,3,6,6,6,6,6,6,3
72,4,4,3,4,4,4,2,2,4,6,6,4,6,6,4
73,5,4,4,4,5,5,5,5,3,5,6,6,5,5,4
74,5,4,4,4,4,4,6,6,6,6,6,6,6,6,4
75,5,6,4,5,5,4,0,3,3,3,4,5,4,6,5
76,4,3,4,4,4,4,3,3,6,4,4,6,3,6,0
77,3,4,4,5,5,5,3,3,4,5,6,4,6,6,5
78,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
79,4,4,4,4,4,4,4,4,4,0,0,0,0,0,4
80,4,4,4,5,5,5,3,3,3,4,4,3,3,4,4
81,4,4,4,4,4,4,6,6,6,3,4,4,3,4,4
82,6,6,4,4,5,5,6,6,6,6,6,6,6,6,4
83,6,4,4,4,4,4,4,4,4,6,6,6,6,6,4
84,4,4,4,5,5,5,6,6,4,4,4,4,4,3,4
85,4,3,4,4,4,5,3,3,4,4,6,4,6,6,4
86,3,6,6,4,5,4,6,6,4,6,6,6,6,6,3
87,5,4,4,5,5,4,6,6,3,3,3,3,3,3,4
88,4,3,3,4,4,3,6,6,4,3,6,6,6,6,3
89,6,6,6,4,6,4,6,6,6,6,6,6,6,6,4
90,4,3,4,5,4,5,6,4,4,6,6,4,6,6,4
91,6,6,6,4,4,4,6,6,6,6,6,6,6,6,4
92,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
93,5,3,3,4,5,4,3,3,3,6,6,6,6,6,4
94,5,4,5,5,5,5,5,5,5,5,3,4,4,4,4
95,4,4,4,4,5,5,6,6,4,6,6,6,6,6,4
96,4,4,3,5,5,5,6,6,5,4,6,6,6,4,4
97,5,5,5,5,5,5,5,5,5,6,6,6,6,6,4
98,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5
99,5,5,5,5,5,5,3,3,4,6,6,6,6,6,3
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,5,5,5,5,5,5,6,6,5,4,6,6,6,6,4
