,2013,2014,2015,2016,2017
159,6,6.0,3.0,5.0,4.0
160,3,4.0,6.0,3.0,5.0
161,1,5.0,4.0,5.0,5.0
162,6,4.0,6.0,3.0,5.0
163,1,4.0,5.0,5.0,4.0
164,6,4.0,6.0,5.0,6.0
165,4,4.0,6.0,5.0,5.0
166,6,4.0,6.0,4.0,5.0
167,4,6.0,1.0,5.0,5.0
168,5,3.0,4.0,5.0,5.0
169,5,2.0,2.0,6.0,2.0
170,4,4.0,6.0,3.0,5.0
171,4,5.0,6.0,3.0,5.0
172,4,3.0,3.0,4.0,0.0
173,2,3.0,5.0,5.0,4.0
174,4,5.0,1.0,5.0,3.0
175,1,5.0,4.0,5.0,4.0
176,5,6.0,6.0,5.0,5.0
177,5,3.0,0.0,2.0,3.0
178,5,6.0,6.0,4.0,3.0
179,1,6.0,5.0,5.0,5.0
180,4,4.0,5.0,5.0,6.0
181,6,6.0,3.0,4.0,5.0
182,3,6.0,1.0,4.0,6.0
183,4,3.0,5.0,6.0,5.0
184,3,5.0,6.0,3.0,3.0
185,5,5.0,6.0,5.0,3.0
186,5,5.0,0.0,0.0,5.0
187,0,4.0,6.0,4.0,6.0
188,6,4.0,3.0,6.0,5.0
189,6,5.0,6.0,1.0,4.0
190,5,5.0,6.0,4.0,5.0
191,4,6.0,2.0,5.0,6.0
192,5,5.0,2.0,6.0,6.0
193,5,6.0,4.0,3.0,5.0
194,5,5.0,3.0,5.0,5.0
195,5,4.0,4.0,3.0,6.0
196,4,3.0,6.0,5.0,5.0
197,4,0.0,6.0,5.0,5.0
198,5,4.0,0.0,3.0,5.0
199,6,6.0,6.0,2.0,5.0
200,3,5.0,4.0,6.0,5.0
201,5,5.0,2.0,5.0,6.0
202,5,2.0,6.0,4.0,6.0
203,5,4.0,6.0,5.0,5.0
204,2,4.0,4.0,5.0,5.0
205,1,6.0,4.0,2.0,6.0
206,3,3.0,4.0,5.0,6.0
207,1,4.0,6.0,4.0,6.0
208,4,1.0,5.0,1.0,5.0
209,0,6.0,5.0,5.0,5.0
210,4,6.0,6.0,5.0,4.0
211,6,3.0,2.0,5.0,5.0
212,6,6.0,4.0,3.0,6.0
213,6,0.0,5.0,5.0,4.0
214,6,6.0,3.0,5.0,3.0
215,4,5.0,5.0,3.0,4.0
216,5,4.0,6.0,5.0,4.0
217,4,5.0,6.0,2.0,5.0
218,6,3.0,5.0,3.0,5.0
219,6,6.0,3.0,6.0,3.0
220,3,4.0,6.0,2.0,5.0
221,6,4.0,4.0,6.0,4.0
222,3,5.0,5.0,4.0,5.0
223,4,0.0,5.0,4.0,4.0
224,4,6.0,5.0,5.0,2.0
225,6,3.0,4.0,5.0,1.0
226,4,5.0,5.0,4.0,1.0
227,6,6.0,6.0,6.0,4.0
228,3,6.0,4.0,6.0,5.0
229,5,3.0,5.0,6.0,4.0
230,5,6.0,5.0,5.0,6.0
231,5,4.0,3.0,6.0,5.0
232,4,4.0,0.0,3.0,3.0
233,4,5.0,6.0,5.0,3.0
234,6,2.0,1.0,3.0,6.0
235,0,5.0,5.0,5.0,6.0
236,1,2.0,0.0,6.0,4.0
237,6,4.0,4.0,3.0,6.0
238,4,2.0,5.0,4.0,2.0
239,6,1.0,5.0,4.0,5.0
240,6,5.0,6.0,4.0,4.0
241,5,6.0,6.0,5.0,3.0
242,6,6.0,0.0,5.0,3.0
243,5,5.0,6.0,3.0,0.0
244,6,0.0,5.0,4.0,5.0
245,5,5.0,5.0,6.0,5.0
246,3,5.0,6.0,5.0,4.0
247,6,3.0,4.0,5.0,4.0
248,4,4.0,6.0,4.0,4.0
249,4,3.0,5.0,4.0,5.0
250,4,4.0,3.0,5.0,3.0
251,4,5.0,6.0,1.0,5.0
252,0,3.0,6.0,4.0,5.0
253,4,6.0,3.0,4.0,6.0
254,5,4.0,6.0,5.0,0.0
255,5,5.0,4.0,4.0,4.0
256,4,6.0,4.0,5.0,3.0
257,6,5.0,5.0,3.0,5.0
258,4,6.0,4.0,5.0,5.0
259,4,6.0,6.0,6.0,0.0
260,4,2.0,3.0,3.0,6.0
261,6,5.0,5.0,3.0,0.0
262,4,2.0,2.0,5.0,5.0
263,6,3.0,5.0,4.0,4.0
264,4,4.0,0.0,4.0,4.0
265,6,5.0,4.0,5.0,4.0
266,6,0.0,4.0,5.0,4.0
267,6,4.0,5.0,5.0,5.0
268,6,5.0,5.0,5.0,3.0
269,5,6.0,5.0,5.0,5.0
270,6,5.0,5.0,5.0,4.0
271,3,4.0,6.0,5.0,5.0
272,3,0.0,5.0,3.0,5.0
273,6,6.0,4.0,5.0,4.0
274,6,5.0,0.0,5.0,0.0
275,6,3.0,5.0,6.0,6.0
276,6,3.0,3.0,5.0,5.0
277,3,6.0,6.0,3.0,5.0
278,0,4.0,5.0,4.0,5.0
279,6,2.0,4.0,3.0,2.0
280,6,4.0,4.0,4.0,0.0
281,5,4.0,5.0,5.0,5.0
282,6,6.0,3.0,4.0,4.0
283,0,5.0,4.0,5.0,0.0
284,6,5.0,4.0,4.0,5.0
285,1,4.0,4.0,5.0,6.0
286,5,4.0,3.0,4.0,3.0
287,2,2.0,3.0,5.0,0.0
288,4,3.0,6.0,2.0,0.0
289,6,5.0,5.0,5.0,4.0
290,4,1.0,4.0,6.0,4.0
291,5,5.0,6.0,3.0,5.0
292,6,6.0,3.0,5.0,4.0
293,2,6.0,4.0,2.0,5.0
294,6,4.0,6.0,5.0,0.0
295,2,5.0,3.0,3.0,4.0
296,5,5.0,5.0,5.0,4.0
297,6,6.0,6.0,5.0,6.0
298,6,6.0,4.0,5.0,4.0
299,6,4.0,6.0,1.0,6.0
300,4,5.0,6.0,4.0,6.0
301,6,4.0,6.0,5.0,0.0
302,6,1.0,4.0,5.0,6.0
303,6,3.0,5.0,5.0,3.0
304,4,4.0,6.0,5.0,5.0
305,6,5.0,1.0,6.0,4.0
306,3,5.0,6.0,1.0,3.0
307,5,4.0,6.0,4.0,6.0
308,5,5.0,3.0,5.0,5.0
309,2,5.0,4.0,4.0,5.0
310,6,5.0,5.0,4.0,4.0
311,6,5.0,6.0,5.0,4.0
312,4,6.0,0.0,5.0,3.0
313,5,3.0,6.0,4.0,6.0
314,2,4.0,3.0,0.0,6.0
315,4,4.0,6.0,5.0,5.0
316,3,6.0,5.0,3.0,5.0
317,4,5.0,2.0,5.0,6.0
318,2,5.0,5.0,5.0,6.0
319,3,6.0,5.0,5.0,5.0
320,5,4.0,5.0,5.0,4.0
321,0,3.0,5.0,4.0,5.0
322,3,6.0,6.0,4.0,6.0
323,4,6.0,4.0,2.0,6.0
324,5,5.0,5.0,5.0,4.0
325,1,4.0,6.0,5.0,4.0
326,4,5.0,6.0,3.0,4.0
327,3,4.0,3.0,5.0,3.0
328,4,5.0,5.0,3.0,3.0
329,6,2.0,4.0,4.0,4.0
330,6,2.0,5.0,5.0,4.0
331,6,1.0,1.0,5.0,4.0
332,4,6.0,6.0,5.0,5.0
333,3,4.0,3.0,5.0,3.0
334,6,5.0,5.0,6.0,4.0
335,4,4.0,6.0,4.0,6.0
336,4,4.0,5.0,5.0,6.0
337,4,4.0,5.0,1.0,5.0
338,3,6.0,6.0,5.0,5.0
339,3,4.0,3.0,4.0,5.0
340,6,6.0,4.0,5.0,6.0
341,4,4.0,4.0,4.0,6.0
342,4,5.0,5.0,3.0,6.0
343,4,6.0,0.0,5.0,4.0
344,6,5.0,6.0,4.0,5.0
345,4,6.0,5.0,5.0,6.0
346,3,5.0,5.0,5.0,0.0
347,2,5.0,4.0,3.0,5.0
348,4,5.0,5.0,4.0,3.0
349,3,4.0,6.0,5.0,6.0
350,6,3.0,3.0,5.0,3.0
351,0,4.0,4.0,5.0,4.0
352,5,3.0,3.0,6.0,6.0
353,0,4.0,3.0,5.0,2.0
354,6,5.0,5.0,6.0,3.0
355,4,5.0,5.0,5.0,5.0
356,6,3.0,5.0,6.0,6.0
357,6,2.0,6.0,4.0,5.0
358,3,4.0,4.0,4.0,6.0
359,3,3.0,4.0,5.0,5.0
360,6,6.0,4.0,4.0,5.0
361,6,3.0,4.0,5.0,5.0
362,6,4.0,5.0,4.0,6.0
