RESPNUM,CCGID,RUN,INTDATE,GATE,AREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,DEPTIME,ARRTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAYS,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8IMPROVE1,Q8IMPROVE2,Q8IMPROVE3,Q9BOARDING,Q9AIRTRAIN,Q9RENTAL,Q9FOOD,Q9RESTROOM,Q9ALL,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10SAFEA,Q10SAFEB,Q10SAFEC,Q11TSAPRE,Q12PRECHECKRATE,Q12PRECOM1,Q12PRECOM2,Q12PRECOM3,Q13COUNTY,Q13GETRATE,Q14FIND,Q14PASSTHRU,Q15PROBLEM,Q15PROBCOM1,Q15PROBCOM2,Q15PROBCOM3,Q16LIVE,Q17ST,Q17ZIP,Q17COUNTRY,HOME,Q18AGE,Q19GENDER,Q20INCOME,Q21FLY,Q22SJC,Q22OAK,LANG,WEIGHT,Location 1
2423,2386,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,5:20 AM,3,,,,,,2,,,,,,,1,1,1,1,1,1,3,4,4,5,5,5,5,5,5,5,6,6,6,6,5,,,,5,6,6,6,5,5,,,,5,,,,1,4,0,,,14,5,5,5,2,,,,2,CA,95758,US,10,3,1,3,2,2,2,1,0.8694341151,
2424,2387,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,9:30 AM,1,,,,,,8,,,,,,,2,2,1,1,5,2,4,5,5,5,5,5,6,6,5,5,6,3,6,4,5,107,,,5,5,3,5,5,4,,,,5,6,,,1,5,1,,,5,3,5,5,2,,,,3,TX,75035,US,11,4,1,4,1,1,1,1,0.8694341151,
2425,2388,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,9:00 AM,2,,,,,,1,,,,,,3,2,1,2,1,4,4,5,5,5,5,4,4,6,6,4,4,3,6,4,6,4,,,,5,6,6,4,3,4,,,,3,,,,1,5,0,,,3,4,5,5,2,,,,1,CA,94960,US,6,7,2,4,2,2,1,1,0.8694341151,
2426,2389,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,8:25 AM,3,,,,,,3,,,,,,,2,2,1,1,1,1,0,3,3,2,4,2,2,2,4,6,6,5,6,6,3,32,,,5,5,6,4,4,5,,,,5,,,,1,0,,,,11,4,2,3,2,,,,3,NY,10011,US,12,4,1,4,1,2,2,1,0.8694341151,
2427,2390,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,8:00 AM,1,,,,,,8,,,,,,,1,1,2,2,1,1,6,6,3,4,4,4,6,6,6,2,6,4,6,4,4,124,,,5,5,5,6,5,5,,,,4,,,,2,,,,,5,3,4,3,1,29,,,3,TX,75224,US,11,4,2,3,2,2,2,1,0.8694341151,
2428,2391,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,8:00 AM,2,,,,,,4,,,,,,,1,2,2,1,1,1,6,6,6,0,4,5,5,5,5,4,6,6,6,6,5,,,,5,6,6,6,5,4,,,,5,,,,2,,,,,5,5,5,5,2,,,,3,,,CZECH REPUBLIC,15,4,2,1,2,2,2,1,0.8694341151,
2429,2392,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,8:00 AM,1,,,,,,4,,,,,,,1,0,0,0,2,2,3,3,3,3,3,3,3,3,3,6,6,6,6,6,4,,,,3,3,3,3,4,3,,,,3,,,,3,,,,,99,3,3,3,2,,,,3,TX,,US,11,3,1,0,2,2,2,1,0.8694341151,
2430,2393,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,8:30 AM,2,,,,,,2,,,,,,,2,2,1,2,1,1,4,4,3,5,4,4,4,4,4,6,6,5,6,4,4,,,,4,4,3,4,5,4,,,,5,,,,1,5,1,,,5,4,5,4,2,,,,3,PA,15021,US,12,6,2,2,2,2,2,1,0.8694341151,
2431,2394,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,8:30 AM,1,,,,,,6,,,,,,,1,0,0,0,2,4,6,6,0,5,6,5,6,6,5,4,6,6,6,6,4,,,,5,6,6,4,5,4,,,,5,,,,1,5,0,,,23,5,5,5,2,,,,1,CA,95616,US,10,6,2,3,2,2,2,1,0.8694341151,
2432,2395,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,7:15 AM,3,,,,,,2,,,,,,,1,1,1,1,3,4,4,3,4,5,4,4,3,3,5,4,5,3,0,6,4,104,,,5,6,6,4,5,4,,,,5,,,,1,5,1,,,8,5,5,5,2,,,,1,CA,94534,US,8,6,2,2,1,2,1,1,0.8694341151,
2433,2396,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,9:00 AM,1,,,,,,7,,,,,,,2,2,2,2,1,1,6,6,6,4,4,4,5,5,5,4,6,6,6,6,5,74,900,,5,6,6,6,5,5,,,,5,,,,1,5,1,,,99,0,5,5,2,,,,3,OK,,US,11,6,1,2,2,2,2,1,0.8694341151,
2434,2397,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,8:30 AM,1,,,,,,8,,,,,,,0,0,1,2,1,4,6,3,4,4,3,4,6,6,1,3,6,4,6,3,4,204,,,5,5,3,4,4,4,,,,5,,,,2,,,,,5,4,4,3,1,12,,,3,OK,74112,US,11,4,1,3,1,2,2,1,0.8694341151,
2435,2398,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,8:30 AM,2,,,,,,2,,,,,,,2,1,2,1,2,4,4,5,5,4,4,3,3,3,5,4,4,6,4,4,4,900,,,4,6,4,4,4,4,,,,5,4,1,,1,5,1,16,,17,4,4,5,2,,,,2,CA,95060,US,10,7,2,4,2,1,1,1,0.8694341151,
2436,2399,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,6:30 AM,2,,,,,,5,,,,,,,1,1,1,2,1,4,5,5,5,5,5,5,4,4,6,5,5,5,5,5,5,,,,5,5,5,5,5,5,,,,5,,,,2,,,,,2,5,5,5,2,,,,1,CA,94520,US,5,4,1,1,2,2,1,1,0.8694341151,
2437,2400,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,9:30 AM,3,,,,,,2,,,,,,,1,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,900,,,5,5,5,5,5,5,,,,5,,,,2,,,,,6,5,5,4,2,,,,1,CA,94066,US,2,5,2,1,1,2,2,2,0.8694341151,
2438,2401,18148,19,57,D,1,1,1,2,8,2268,24,3,4,10:30 AM,4:00 AM,2,,,,,,2,,,,,,,2,2,2,2,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,123,,,0,0,0,0,0,0,,,,4,1,,,4,,,,,5,4,5,4,2,,,,3,,,MEXICO,14,3,1,1,2,0,1,2,0.8694341151,
2439,380,18019,5,11,A,1,1,1,1,21,16,61,2,4,8:00 AM,6:00 AM,2,,,,,,6,,,,,,,1,2,2,1,1,1,5,6,4,5,5,5,6,6,5,6,6,6,6,6,4,,,,5,6,6,6,6,4,,,,4,5,,,2,,,,,5,5,5,5,2,,,,3,,,UK,15,2,2,5,2,2,2,1,0.7780874494,
2440,381,18019,5,11,A,1,1,1,1,21,16,61,2,4,8:00 AM,6:15 AM,2,3,,,,,12,,,,,,,1,1,2,2,3,2,4,6,6,5,5,5,6,6,5,6,6,5,6,6,5,,,,5,5,6,6,4,5,,,,5,6,,,2,,,,,5,4,5,5,2,,,,3,IL,60615,US,11,2,1,2,2,2,2,1,0.7780874494,
2441,382,18019,5,11,A,1,1,1,1,21,16,61,2,4,8:00 AM,6:30 AM,2,,,,,,2,,,,,,,1,1,2,1,2,2,6,4,5,5,5,5,6,6,3,6,6,5,6,6,5,,,,5,5,6,5,5,5,,,,3,99,,,2,,,,,7,5,5,5,2,,,,1,CA,95112,US,4,2,2,1,2,2,2,1,0.7780874494,
2442,383,18019,5,11,A,1,1,1,1,21,16,61,2,4,8:00 AM,6:00 AM,2,,,,,,13,,,,,,,1,2,1,2,3,1,3,2,2,4,4,4,6,6,4,4,3,6,4,6,4,2,,,5,6,6,3,5,5,,,,5,,,,1,4,0,,,5,5,5,4,2,,,,1,CA,94103,US,1,3,2,0,1,1,2,1,0.7780874494,
2443,384,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:30 AM,2,,,,,,1,,,,,,3,2,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,6,4,6,4,,,,5,6,6,4,5,4,,,,5,4,1,,0,0,,,,7,3,4,4,2,,,,1,CA,95020,US,4,5,2,4,2,1,0,1,0.7780874494,
2444,385,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:45 AM,2,,,,,,1,,,,,,4,2,1,2,2,1,3,4,2,2,2,4,4,6,6,3,4,4,4,4,6,3,176,,,5,4,6,4,4,4,,,,4,6,,,2,,,,,5,5,4,5,2,,,,1,CA,94123,US,1,3,2,4,2,2,1,1,0.7780874494,
2445,386,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:15 AM,2,,,,,,7,,,,,,,1,2,1,2,1,4,5,5,5,4,4,5,4,4,6,6,6,6,6,6,4,,,,5,6,6,5,5,5,,,,4,8,,,2,,,,,5,5,5,4,2,,,,2,CA,95603,US,10,6,1,4,2,2,2,1,0.7780874494,
2446,387,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:50 AM,2,,,,,,1,,,,,,4,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,5,5,5,5,5,5,,,,5,,,,2,,,,,7,5,5,5,2,,,,1,CA,94024,US,4,4,1,4,2,1,1,1,0.7780874494,
2447,388,18019,5,11,A,1,1,1,2,21,16,61,2,4,8:00 AM,6:20 AM,2,,,,,,2,,,,,,,1,2,1,2,3,4,4,4,4,4,5,5,6,6,6,4,6,4,6,6,4,,,,5,5,6,4,4,5,,,,5,,,,2,,,,,5,4,5,5,2,,,,1,CA,,US,1,3,2,3,3,2,1,1,0.7780874494,
