RESPNUM,CCGID,RUN,INTDATE,GATE,AREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,DEPTIME,ARRTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAYS,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8IMPROVE1,Q8IMPROVE2,Q8IMPROVE3,Q9BOARDING,Q9AIRTRAIN,Q9RENTAL,Q9FOOD,Q9RESTROOM,Q9ALL,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10SAFEA,Q10SAFEB,Q10SAFEC,Q11TSAPRE,Q12PRECHECKRATE,Q12PRECOM1,Q12PRECOM2,Q12PRECOM3,Q13COUNTY,Q13GETRATE,Q14FIND,Q14PASSTHRU,Q15PROBLEM,Q15PROBCOM1,Q15PROBCOM2,Q15PROBCOM3,Q16LIVE,Q17ST,Q17ZIP,Q17COUNTRY,HOME,Q18AGE,Q19GENDER,Q20INCOME,Q21FLY,Q22SJC,Q22OAK,LANG,WEIGHT,Location 1
1,348,18045,4,54,D,3,2,1,1,36,182,62,2,3,9:20 PM,6:30 PM,6,,,,,,5,,,,,,,2,2,1,2,5,2,5,5,5,4,5,3,3,3,3,2,6,4,5,5,5,999,284,,5,5,5,5,5,5,,,,5,,,,1,5,0,,,5,5,4,5,2,,,,1,CA,94114,US,1,3,2,2,2,2,1,1,0.8694341151,
2,349,18045,4,54,D,3,2,1,1,36,182,62,2,3,9:20 PM,7:00 PM,4,,,,,,2,,,,,,,1,2,2,2,3,2,6,6,2,4,5,5,6,6,3,5,4,5,4,6,5,234,1,,4,5,6,6,4,4,,,,5,12,,,2,,,,,1,4,4,4,2,,,,1,CA,94619,US,3,2,1,1,2,2,2,1,0.8694341151,
3,350,18045,4,54,D,3,2,1,1,36,182,62,2,3,9:20 PM,8:00 PM,3,,,,,,2,,,,,,,2,2,2,1,6,2,6,3,3,5,4,4,6,6,4,2,2,6,1,6,4,130,912,116,5,6,6,4,4,4,,,,5,12,,,1,5,1,2,,5,5,5,5,2,,,,1,CA,94121,US,1,5,1,4,1,2,1,1,0.8694341151,
4,351,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,8:10 PM,2,,,,,,2,,,,,,,1,1,0,1,3,3,6,5,5,5,5,5,5,5,5,5,4,6,4,6,5,,,,5,6,6,5,4,4,,,,5,,,,2,,,,,6,5,5,5,2,,,,1,CA,94404,US,2,3,2,4,2,1,2,1,0.8694341151,
5,352,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,8:20 PM,3,,,,,,2,,,,,,,2,2,2,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,900,,,5,5,5,5,5,5,,,,5,1,,,1,0,0,,,5,5,5,5,2,,,,1,CA,94115,US,1,3,1,1,2,2,2,1,0.8694341151,
6,353,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,7:00 PM,2,,,,,,5,,,,,,,2,2,1,1,3,3,5,5,4,4,5,5,4,4,5,5,6,5,6,6,4,2,,,5,5,6,5,5,5,,,,4,2,,,2,,,,,5,5,5,5,1,17,,,1,CA,94612,US,3,3,1,1,2,2,1,1,0.8694341151,
7,354,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,7:00 PM,2,,,,,,2,,,,,,,2,2,1,1,2,1,5,4,4,5,5,5,5,5,5,4,6,6,6,6,5,900,,,5,6,6,5,1,4,,,,5,1,,,2,,,,,7,0,5,5,2,,,,1,CA,95132,US,4,3,1,2,2,2,2,1,0.8694341151,
8,355,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,8:07 PM,3,,,,,,2,,,,,,,2,2,2,2,4,2,4,4,4,5,5,5,4,4,5,4,4,4,4,4,4,,,,4,6,6,4,5,4,,,,4,,,,2,,,,,5,5,4,4,2,,,,1,CA,94121,US,1,3,2,2,2,1,1,1,0.8694341151,
9,356,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,6:00 PM,1,,,,,,4,,,,,,,2,1,1,2,6,2,4,4,4,5,4,5,6,6,6,6,6,6,6,6,5,,,,5,6,6,4,5,5,,,,5,,,,2,,,,,5,4,5,5,2,,,,3,NJ,7869,US,12,4,1,3,1,2,2,1,0.8694341151,
10,357,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,1:00 PM,2,,,,,,5,,,,,,,2,2,1,1,3,3,5,4,3,4,3,3,3,3,5,3,6,4,6,6,4,170,107,104,5,5,6,5,5,4,,,,5,1,,,2,,,,,1,3,3,5,2,,,,1,CA,94612,US,3,3,2,1,2,2,1,1,0.8694341151,
11,358,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,7:50 PM,3,,,,,,2,,,,,,,1,1,1,2,2,1,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,,,,3,3,2,3,2,3,,,,4,,,,1,5,0,,,5,3,3,3,2,,,,1,NJ,7876,US,12,5,2,2,2,2,2,1,0.8694341151,
12,359,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,6:00 PM,1,,,,,,4,,,,,,,2,1,1,1,3,3,5,4,4,5,5,5,4,5,5,5,5,5,6,5,5,,,,5,5,5,5,5,5,,,,5,1,,,3,,,,,5,5,5,5,2,,,,3,NJ,7739,US,12,4,1,4,2,2,2,1,0.8694341151,
13,360,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,7:20 PM,1,3,,,,,2,,,,,,,2,2,2,2,4,4,4,4,4,4,4,4,6,6,6,4,4,6,3,6,4,,,,4,6,6,4,3,4,,,,4,2,,,2,,,,,7,4,4,4,2,,,,1,CA,95070,US,4,6,1,3,2,1,2,1,0.8694341151,
14,361,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,8:00 PM,4,,,,,,2,,,,,,,1,0,0,1,3,4,4,4,4,4,4,4,4,4,5,4,6,6,6,6,5,,,,5,6,6,4,4,4,,,,5,5,,,2,,,,,5,0,5,5,2,,,,1,CA,94132,US,1,2,2,2,3,2,2,1,0.8694341151,
15,362,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,7:30 PM,3,,,,,,3,,,,,,,2,1,2,1,3,2,4,4,5,5,5,5,4,3,4,6,6,6,6,6,4,,,,5,5,5,5,5,5,,,,5,,,,4,,,,,11,5,5,6,2,,,,3,NY,10704,US,12,2,1,3,2,2,2,1,0.8694341151,
16,363,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,7:30 PM,2,,,,,,11,,,,,,,2,1,2,2,4,3,4,4,3,3,3,3,6,6,2,3,3,3,6,2,4,49,130,,4,6,2,3,3,4,,,,5,,,,2,,,,,5,3,3,4,2,,,,1,CA,94131,US,1,3,2,3,2,1,2,1,0.8694341151,
17,364,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,6:30 PM,1,,,,,,4,,,,,,,2,1,1,2,3,1,6,3,3,3,3,3,3,3,3,6,6,6,6,6,5,900,,,5,5,6,6,5,5,,,,5,,,,2,,,,,0,0,5,5,2,,,,0,NY,,US,12,0,2,4,2,2,2,1,0.8694341151,
18,365,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,7:20 PM,6,,,,,,2,,,,,,,2,1,2,1,3,4,5,4,4,5,4,4,6,6,5,4,4,4,5,6,4,,,,4,4,6,4,4,4,,,,4,2,,,2,,,,,5,5,5,5,2,,,,1,CA,94803,US,5,3,2,2,2,1,1,1,0.8694341151,
19,366,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,7:30 PM,2,,,,,,3,,,,,,,0,0,1,0,3,2,0,4,4,5,4,5,4,4,4,4,6,6,6,6,4,,,,5,6,6,5,4,4,,,,3,,,,4,,,,,11,6,5,0,2,,,,3,NJ,7050,US,12,6,2,2,2,2,2,1,0.8694341151,
20,367,18045,4,54,D,3,2,1,2,36,182,62,2,3,9:20 PM,6:30 PM,2,,,,,,4,,,,,,,2,2,1,1,2,1,6,4,3,4,3,3,4,4,4,3,6,6,6,6,4,,,,5,6,6,5,5,4,,,,4,2,,,3,0,7,,,5,4,3,4,2,,,,1,CA,,US,1,3,1,1,2,2,0,3,0.8694341151,
21,368,18018,5,11,A,1,1,1,1,21,434,11,2,3,7:00 AM,5:00 AM,2,,,,,,1,,,,,,4,2,2,2,1,3,2,6,4,6,4,5,5,4,4,6,6,4,6,6,6,5,,,,4,6,6,5,5,5,,,,3,,,,4,,,,,1,5,4,4,2,,,,1,CA,94536,US,3,3,1,1,2,2,1,1,0.7780874494,
22,369,18018,5,11,A,1,1,1,1,21,434,11,2,3,7:00 AM,5:00 AM,1,,,,,,8,,,,,,,2,2,1,1,4,3,6,4,6,5,5,6,6,6,3,4,6,5,6,5,4,204,,,5,5,4,5,4,4,,,,5,1,,,2,,,,,2,5,5,4,2,,,,3,MS,2018,US,11,4,1,3,3,1,2,1,0.7780874494,
23,370,18018,5,11,A,1,1,1,1,21,434,11,2,3,7:00 AM,5:00 AM,3,,,,,,12,,,,,,,1,2,1,2,3,4,6,4,6,4,4,4,6,6,6,4,4,6,4,4,4,205,,,4,6,4,4,4,4,,,,3,2,,,2,,,,,5,0,4,4,2,,,,1,CA,94127,US,1,6,2,1,2,2,2,1,0.7780874494,
24,371,18018,5,11,A,1,1,1,1,21,434,11,2,3,7:00 AM,5:00 AM,1,,,,,,4,,,,,,,2,2,1,2,1,2,6,4,6,1,3,6,6,6,6,6,6,6,6,6,3,,,,4,6,6,4,6,4,,,,5,,,,2,,,,,5,4,5,5,2,,,,3,ME,4106,US,12,4,1,2,2,2,2,1,0.7780874494,
25,372,18018,5,11,A,1,1,1,1,21,434,11,2,3,7:00 AM,5:30 AM,2,,,,,,15,,,,,,,1,1,1,2,3,4,6,2,2,5,5,5,6,6,6,6,6,6,6,6,4,5,,,5,6,6,5,5,4,,,,5,4,,,1,5,0,,,3,4,5,5,2,,,,1,CA,94941,US,6,6,2,2,2,2,1,1,0.7780874494,
26,373,18018,5,11,A,1,1,1,1,21,434,11,2,3,7:00 AM,5:50 AM,1,,,,,,4,,,,,,,2,2,2,2,2,4,6,4,3,4,4,4,4,6,4,4,6,3,6,3,4,,,,5,5,4,5,5,5,,,,5,,,,2,,,,,5,5,5,5,2,,,,3,MA,2140,US,12,4,1,4,2,1,1,1,0.7780874494,
27,374,18018,5,11,A,1,1,1,1,21,434,11,2,3,7:00 AM,5:50 AM,2,,,,,,5,,,,,,,2,2,2,2,1,1,6,6,6,4,5,5,5,5,6,6,6,4,6,6,4,101,,,5,5,5,5,5,5,,,,4,,,,3,,,,,2,4,3,4,1,3,9,,3,CA,93405,US,10,2,2,1,2,2,2,1,0.7780874494,
28,375,18018,5,11,A,1,1,1,2,21,434,11,2,3,7:00 AM,6:00 AM,1,,,,,,4,,,,,,,1,0,1,0,3,4,0,4,0,4,4,4,4,4,0,5,4,0,0,0,4,12,,,4,0,0,4,4,4,,,,4,,,,2,,,,,7,5,5,5,2,,,,0,,,INDIA,16,7,1,2,2,2,2,1,0.7780874494,
29,376,18018,5,11,A,1,1,1,2,21,434,11,2,3,7:00 AM,6:00 AM,2,,,,,,2,,,,,,,1,2,2,2,1,4,4,3,3,5,5,4,4,4,4,5,4,4,6,6,4,,,,4,6,6,5,4,4,,,,4,,,,3,,,,,1,4,4,3,2,,,,3,CA,,US,10,4,2,3,2,1,1,1,0.7780874494,
30,377,18018,5,11,A,1,1,1,2,21,434,11,2,3,7:00 AM,5:30 AM,3,,,,,,2,,,,,,,1,2,1,2,2,4,5,2,3,3,3,3,6,6,6,2,6,4,6,6,3,124,123,184,4,4,6,3,3,3,,,,3,19,,,2,,,,,5,5,5,5,1,17,,,3,MA,1581,US,12,3,2,3,2,2,2,1,0.7780874494,
31,378,18018,5,11,A,1,1,1,2,21,434,11,2,3,7:00 AM,5:45 AM,2,3,,,,,13,,,,,,,2,2,2,2,3,2,6,2,3,4,4,4,6,6,6,4,4,6,4,6,4,,,,4,6,6,4,4,4,,,,5,,,,1,5,0,,,5,4,5,5,2,,,,1,CA,94109,US,1,4,2,4,2,0,1,1,0.7780874494,
32,379,18018,5,11,A,1,1,1,2,21,434,11,2,3,7:00 AM,5:30 AM,3,,,,,,2,,,,,,,2,1,1,1,6,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5,5,5,,,,5,,,,2,,,,,0,0,0,0,0,,,,0,,,Blank,0,0,0,0,0,0,0,1,0.7780874494,
33,547,18024,6,28,B,2,1,1,1,29,1408,4,2,4,12:25 PM,10:00 AM,1,,,,,,5,,,,,,,2,2,1,2,1,1,6,4,6,4,4,4,6,6,6,6,6,4,6,6,4,,,,3,4,6,4,0,3,22,,,5,,,,2,,,,,1,5,5,5,0,,,,3,NC,27615,US,12,3,1,2,3,2,2,1,0.5221167513,
34,548,18024,6,28,B,2,1,1,1,29,1408,4,2,4,12:25 PM,11:30 AM,1,2,,,,,4,,,,,,,2,2,1,2,4,2,6,4,6,4,4,4,6,6,1,0,0,0,0,0,4,200,,,4,6,6,4,4,4,,,,4,6,,,2,,,,,5,0,5,5,2,,,,1,CA,,US,1,3,2,3,2,2,1,1,0.5221167513,
35,549,18024,6,28,B,2,1,1,1,29,1408,4,2,4,12:25 PM,10:30 AM,2,,,,,,1,,,,,,4,1,2,1,1,1,4,2,5,6,5,6,6,6,6,5,5,4,6,5,6,0,,,,5,6,6,5,5,5,,,,5,,,,1,5,0,,,13,4,5,5,0,,,,2,,,Blank,0,4,1,3,3,1,1,1,0.5221167513,
36,550,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:30 AM,1,,,,,,5,,,,,,,1,1,1,2,1,1,3,3,4,0,4,4,6,6,6,6,6,4,6,6,4,,,,4,5,6,3,3,4,,,,5,,,,2,,,,,5,4,5,5,2,,,,3,NC,,US,12,3,2,2,2,2,2,1,0.5221167513,
37,551,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:45 AM,3,,,,,,2,,,,,,,1,1,1,1,1,1,6,4,4,3,6,3,3,3,3,3,6,6,6,6,3,,,,4,6,6,4,4,4,,,,5,,,,1,3,0,,,5,4,4,4,2,,,,2,CA,94551,US,3,2,2,2,2,0,1,1,0.5221167513,
38,552,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:15 AM,3,,,,,,6,,,,,,,1,2,1,2,1,4,3,3,3,4,4,4,3,3,4,5,4,6,6,6,4,30,,,5,6,6,4,4,4,,,,5,1,,,1,5,1,,,7,5,5,5,2,,,,1,CA,95032,US,4,7,2,4,2,1,2,1,0.5221167513,
39,553,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,11:00 AM,2,,,,,,8,,,,,,,0,1,0,1,1,3,5,6,5,5,4,5,6,6,6,5,6,5,6,5,5,,,,5,5,5,6,5,5,,,,5,,,,2,,,,,3,5,5,5,2,,,,3,PA,19460,US,12,7,1,2,2,2,2,1,0.5221167513,
40,554,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:00 AM,3,,,,,,6,,,,,,,1,0,1,0,1,1,4,4,4,5,4,5,5,5,6,5,6,6,6,6,5,,,,4,6,6,4,5,4,,,,4,,,,2,,,,,5,5,5,3,1,4,,,4,,,NIGERIA,18,4,1,2,3,2,2,1,0.5221167513,
41,555,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,9:30 AM,2,,,,,,8,,,,,,,1,2,1,1,2,2,6,4,3,4,4,4,6,6,5,3,6,5,6,2,4,,,,4,4,3,4,4,4,,,,5,,,,2,,,,,4,4,5,4,2,,,,3,CT,6517,US,12,4,1,3,2,2,2,1,0.5221167513,
42,556,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:15 AM,1,,,,,,2,,,,,,,1,2,1,1,3,1,6,4,6,4,6,4,6,6,4,3,6,4,6,4,4,,,,4,4,4,2,4,4,,,,4,4,,,2,,,,,7,4,4,4,2,,,,1,CA,95138,US,4,4,1,4,2,1,2,1,0.5221167513,
43,557,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:20 AM,1,,,,,,12,,,,,,,1,1,1,1,4,3,4,4,4,3,4,2,3,3,4,4,3,4,2,3,3,,,,4,4,6,3,4,4,,,,4,,,,2,,,,,6,4,4,4,1,1,,,1,CA,94014,US,2,3,1,3,1,1,1,1,0.5221167513,
44,558,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:30 AM,2,,,,,,8,,,,,,,1,2,2,2,1,1,3,6,6,3,3,6,6,6,6,3,6,3,6,3,3,,,,3,3,3,3,3,3,,,,3,,,,2,,,,,0,3,3,3,2,,,,3,MD,20724,US,12,6,1,4,2,2,2,1,0.5221167513,
45,559,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,11:00 AM,2,3,,,,,2,,,,,,,1,0,0,0,1,1,4,6,6,5,6,4,4,5,6,4,6,6,6,6,4,900,910,,5,6,6,6,6,5,,,,0,,,,0,0,0,,,0,0,0,0,0,,,,3,NJ,8628,US,12,7,2,2,2,1,0,1,0.5221167513,
46,560,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:30 AM,1,,,,,,12,,,,,,,1,1,1,1,2,4,3,3,3,4,3,3,3,3,4,3,3,6,6,6,3,210,,,5,6,6,4,3,4,,,,4,12,,,2,,,,,5,3,5,3,2,,,,3,MD,20695,US,12,5,1,4,1,2,2,1,0.5221167513,
47,561,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:15 AM,2,,,,,,2,,,,,,,1,2,2,1,1,4,3,3,6,5,6,5,6,6,6,6,6,6,6,6,4,236,,,4,6,6,6,4,4,,,,4,,,,1,5,1,17,,1,5,5,5,2,,,,1,CA,94539,US,3,6,2,0,2,0,1,1,0.5221167513,
48,562,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:00 AM,2,,,,,,8,,,,,,,1,1,1,1,2,1,6,3,3,5,5,5,4,4,6,4,6,5,6,5,4,1,200,236,5,5,4,5,5,5,41,,,3,,,,2,,,,,1,4,3,3,2,,,,3,VA,20186,US,12,3,2,2,2,2,2,1,0.5221167513,
49,563,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:20 AM,2,,,,,,8,,,,,,,1,0,0,0,1,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,5,5,5,5,5,5,,,,5,,,,1,5,0,,,5,3,5,5,2,,,,0,GA,30076,US,12,6,2,2,2,2,2,1,0.5221167513,
50,564,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:00 AM,6,,,,,,6,,,,,,,0,1,1,0,2,4,3,3,4,4,3,4,6,6,6,3,3,2,6,2,4,,,,4,3,3,4,4,4,,,,3,,,,1,5,0,,,5,3,4,4,1,,,,3,GA,30013,US,12,6,2,2,2,2,2,1,0.5221167513,
51,565,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:45 AM,1,,,,,,2,,,,,,,1,2,2,2,1,1,4,6,6,5,6,4,3,3,6,5,6,6,6,6,4,33,2,,5,6,6,6,6,4,,,,5,12,,,2,,,,,1,5,5,4,2,,,,3,,,INDIA,16,4,1,2,2,2,2,1,0.5221167513,
52,566,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,11:00 AM,2,,,,,,4,,,,,,,1,0,1,1,1,1,5,4,5,5,6,0,6,6,5,6,6,6,6,6,5,,,,5,6,6,4,4,4,,,,5,,,,1,5,1,,,5,5,5,5,2,,,,3,NJ,8260,US,12,7,2,2,2,2,2,1,0.5221167513,
53,567,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:45 AM,1,,,,,,5,,,,,,,2,2,2,1,1,1,3,6,6,4,4,4,4,4,5,6,6,2,6,6,4,101,,,4,4,6,4,4,4,,,,3,,,,2,,,,,5,5,4,4,2,,,,3,DC,20010,US,12,3,2,1,2,2,2,1,0.5221167513,
54,568,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:30 AM,3,,,,,,2,,,,,,,1,2,2,1,1,3,6,6,6,5,5,5,5,5,5,5,6,5,6,6,5,900,,,4,6,6,0,4,4,,,,3,,,,1,4,0,,,6,0,5,4,2,,,,3,NJ,8648,US,12,5,2,0,2,2,2,1,0.5221167513,
55,569,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,9:40 AM,1,,,,,,15,,,,,,,1,1,2,2,1,1,1,3,2,4,6,0,2,6,6,6,6,6,6,6,3,,,,3,4,6,3,3,3,,,,5,,,,2,,,,,5,0,5,5,2,,,,3,DC,,US,12,3,2,0,2,2,2,1,0.5221167513,
56,570,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,9:10 AM,3,,,,,,1,,,,,,3,1,1,2,2,7,4,3,3,3,4,3,4,6,6,6,3,3,4,4,6,3,261,267,,3,4,6,2,3,3,,,,4,1,,,2,,,,,32,5,5,5,2,,,,2,CA,95470,US,10,9,3,3,2,0,1,1,0.5221167513,
57,571,18024,6,28,B,2,1,1,2,29,1408,4,2,4,12:25 PM,10:30 AM,2,,,,,,2,,,,,,,1,1,2,2,3,2,3,3,2,4,4,4,6,6,6,3,3,6,6,6,3,2,28,,3,6,6,6,3,4,,,,4,,,,2,,,,,0,4,5,4,2,,,,3,OH,44718,US,11,4,2,0,2,2,2,1,0.5221167513,
58,572,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,9:15 AM,3,,,,,,2,,,,,,,0,0,1,0,1,4,6,2,6,5,5,5,5,5,6,5,5,6,6,6,4,,,,5,6,6,3,4,4,,,,4,99,,,1,5,0,,,6,5,5,5,2,,,,1,CA,94044,US,2,5,1,2,2,2,2,1,0.5221167513,
59,573,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,8:30 AM,6,,,,,,6,,,,,,,1,0,1,0,1,1,4,4,0,5,4,5,6,6,6,6,6,6,6,6,5,,,,5,6,6,5,5,5,,,,3,16,,,1,5,1,,,0,5,5,5,2,,,,3,TX,78681,US,11,7,2,1,2,2,2,1,0.5221167513,
60,574,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,9:15 AM,3,,,,,,2,,,,,,,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,0,0,0,0,0,0,,,,5,,,,0,5,0,,,7,0,5,5,2,,,,3,,,Blank,0,7,1,1,1,0,0,1,0.5221167513,
61,575,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,9:00 AM,3,,,,,,6,,,,,,,2,1,1,1,2,1,4,4,4,3,4,4,5,5,5,4,4,4,4,6,4,223,,,4,4,4,4,4,4,,,,4,,,,2,,,,,7,2,3,4,2,,,,1,CA,94305,US,4,3,2,2,1,2,2,1,0.5221167513,
62,576,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,9:30 AM,2,,,,,,9,,,,,,,2,2,1,1,3,4,6,4,6,5,5,5,6,6,4,5,4,5,6,3,4,,,,5,5,4,4,5,4,,,,3,,,,1,5,0,,,3,3,3,4,2,,,,3,AZ,85718,US,10,7,2,0,2,0,1,1,0.5221167513,
63,577,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,9:30 AM,3,,,,,,2,,,,,,,2,1,2,1,1,2,2,3,3,3,3,3,3,3,3,3,6,6,6,6,3,,,,5,6,6,6,5,5,,,,4,,,,1,3,0,,,7,5,5,5,2,,,,3,TX,78759,US,11,6,2,1,3,1,2,1,0.5221167513,
64,578,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,11:00 AM,3,,,,,,8,,,,,,,2,2,1,2,1,1,5,3,4,3,2,3,3,1,3,4,4,4,4,4,4,,,,5,5,5,5,5,4,,,,0,,,,0,0,,,,0,0,0,0,0,,,,1,CA,,US,1,2,2,1,0,2,2,1,0.5221167513,
65,579,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,8:30 AM,10,,,,,,2,,,,,,,1,2,1,2,3,3,6,6,4,5,5,5,5,5,4,5,5,5,6,6,5,264,,,3,5,6,6,5,4,,,,4,12,,,2,,,,,5,5,5,5,2,,,,1,CA,94121,US,1,6,1,1,2,2,2,1,0.5221167513,
66,580,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,9:00 AM,2,,,,,,2,,,,,,,1,2,2,1,2,1,4,4,4,5,4,4,5,5,4,4,4,4,0,0,4,,,,5,0,0,0,5,5,,,,4,,,,1,5,0,,,7,5,5,5,2,,,,3,IN,46808,US,11,6,1,1,2,2,0,1,0.5221167513,
67,581,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,8:50 AM,2,,,,,,5,,,,,,,1,2,2,1,2,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,5,,900,,5,5,4,5,4,4,,,,4,,,,1,5,1,,,1,3,5,4,1,24,,,1,CA,94610,US,3,5,1,1,2,2,1,1,0.5221167513,
68,582,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,9:15 AM,1,,,,,,2,,,,,,,0,1,0,0,0,2,6,3,3,4,3,4,3,3,3,0,4,4,3,4,3,,,,4,4,5,4,3,4,,,,3,,,,2,,,,,6,5,4,4,2,,,,3,,,Blank,0,4,2,0,2,1,0,1,0.5221167513,
69,583,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,9:00 AM,13,,,,,,2,,,,,,,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,,,,3,3,3,3,3,3,,,,4,1,,,3,,,,,3,4,5,5,2,,,,2,CA,94903,US,6,3,2,1,3,2,1,1,0.5221167513,
70,584,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,8:30 AM,2,,,,,,5,,,,,,,2,2,1,2,3,3,2,1,2,4,3,3,6,3,6,6,6,3,6,6,2,,,,3,4,6,3,3,3,,,,4,20,,,2,,,,,5,4,3,3,2,,,,3,CA,91942,US,10,3,2,0,2,1,2,1,0.5221167513,
71,585,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,9:15 AM,2,,,,,,4,,,,,,,1,2,1,2,1,1,3,4,4,4,3,3,6,6,6,6,6,6,6,6,4,,,,4,6,6,4,4,4,,,,4,,,,2,,,,,5,4,4,4,2,,,,3,NM,87031,US,10,6,2,3,2,2,2,1,0.5221167513,
72,586,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,10:00 AM,6,,,,,,12,,,,,,,2,1,2,1,5,4,4,3,4,4,4,4,4,3,5,3,3,5,2,6,4,,,,5,4,6,4,3,4,,,,4,,,,1,5,0,,,5,5,4,4,2,,,,1,CA,94115,US,1,3,0,4,1,2,1,1,0.5221167513,
73,587,18023,6,31,B,2,1,1,2,29,4447,83,1,2,11:40 AM,9:55 AM,3,,,,,,5,,,,,,,2,2,1,1,1,2,5,4,4,4,5,4,3,3,4,5,6,5,6,6,4,,,,4,5,6,4,4,4,,,,5,1,,,2,,,,,5,5,5,5,2,,,,3,CA,92117,US,10,3,2,1,2,2,2,1,0.5221167513,
