*RESPNUM,CCGID,RUNID,INTDATE,EGYPTAIR,DAY,GATE,BAREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE CODE,DEST CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAYS,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8COM,Q8COM2,Q8COM3,Q8COM4,Q8COM5,Q9BOARDING,Q9AIRTRAIN,Q9RENTAL,Q9FOOD,Q9RESTROOM,Q9ALL,Q9COM,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11TSAPRE,Q12PRECHECKRATE,Q12PRECOM1,Q12PRECOM2,Q12PRECOM3,Q13 COUNTY,Q13GETRATE,Q14FIND,Q14PASSTHRU,Q15PROBLEM,Q15COM1,Q15COM2,Q15COM3,Q16LIVE,Q17ZIP,Q17COUNTRY,HOME,Q18PET,Q19AGE,Q20GENDER,Q21INCME,Q22FLY,Q23SJC,Q23OAK,LANG,WEIGHT,HOWLONG,Q17CITY,Q17STATE
215,190,715,05/13/2016 12:00:00 AM,1,6,79,F,2,2,1,2,UNITED,PALM SPRINGS,6051,28,46,2,1,11:30:00,15:32:00,2,,,3,,,,2,2,1,3,2,1,4,6,5,6,4,5,5,6,6,1,6,6,6,6,6,5,508,504,,,,5,6,6,5,5,5,0,,,5,0,,,1,5,0,,,11,0,3,6,1,12,,,3,92262,UNITED STATES,10,1,65-Over,Male,0,2,1,1,1,1.757875,242,PALM SPRINGS,CA
1424,2142,729,05/14/2016 12:00:00 AM,1,7,58,D,2,1,1,1,AMERICAN,LOS ANGELES,5920,8,34,1,4,11:00:00,13:00:00,3,,,9,,,,1,2,1,2,0,1,4,6,3,6,4,4,4,6,6,6,3,3,3,0,0,3,608,405,,,,6,3,3,3,3,3,0,,,3,0,,,1,4,18,,,7,3,2,2,1,5,,,3,,UNITED STATES,10,1,65-Over,Male,0,2,2,4,1,1.1225454545,120,LOS ANGELES,CA
1362,2016,746,05/15/2016 12:00:00 AM,1,1,2,A,3,2,1,2,ALASKA,SEATTLE,337,7,60,1,4,17:00:00,19:20:00,0,,,5,,,,0,0,1,1,1,1,4,6,4,0,5,5,5,5,5,4,0,0,0,0,0,4,0,,,,,4,4,0,0,4,5,0,,,3,0,,,2,,,,,7,4,5,4,2,,,,3,98004,UNITED STATES,10,1,65-Over,Male,0,2,1,4,1,0.35525,140,BELLVUE,WA
1923,1860,759,05/16/2016 12:00:00 AM,1,2,91,G,3,3,1,2,UNITED INTL,TOKYO-HANEDA,875,29,65,8,4,15:16:00,19:20:00,1,,,3,,,,2,2,1,1,1,2,1,3,4,4,4,4,4,6,6,5,6,6,6,6,6,4,0,,,,,5,6,6,3,4,4,0,,,4,0,,,2,,,,,11,4,3,6,2,,,,2,95648,UNITED STATES,10,1,65-Over,Male,0,2,2,2,1,0.9174216867,244,LINCOLN,CA
1825,1167,765,05/17/2016 12:00:00 AM,1,3,45,C,2,1,1,2,AMERICAN,CHARLOTTE,662,8,11,2,4,9:00:00,11:05:00,2,,,9,,,,2,2,2,1,1,1,4,5,6,6,4,3,3,6,3,4,4,6,6,6,3,4,15,,,,,5,6,3,6,3,5,0,,,4,0,,,2,,,,,5,5,3,4,2,,,,3,28560,UNITED STATES,12,1,65-Over,Male,0,2,2,2,1,1.1225454545,125,NEW BERN,NC
2034,1761,769,05/17/2016 12:00:00 AM,1,3,26,B,3,2,1,2,SOUTHWEST,SAN DIEGO,2644,25,55,1,2,15:45:00,17:35:00,1,,,2,,,,2,2,2,2,4,1,4,3,3,3,3,3,3,3,3,2,3,6,3,6,3,0,505,,,,,3,3,3,3,3,3,8,,,3,0,,,1,2,20,,,5,3,3,2,2,,,,3,91941,UNITED STATES,10,1,65-Over,Male,0,2,1,1,1,0.8875125,110,LA MESA,CA
1908,1888,783,05/18/2016 12:00:00 AM,1,4,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:00:00,9:40:00,1,,,9,,,,1,2,1,1,1,1,4,6,4,3,3,4,4,4,4,5,4,6,4,6,4,4,311,,,,,4,4,4,4,3,4,0,,,4,0,,,0,,,,,5,4,3,2,2,,,,3,,CANADA,13,1,65-Over,Male,0,2,2,2,1,0.2510956938,220,PETERBOROUGH,
390,550,795,05/19/2016 12:00:00 AM,2,5,12,A,1,2,1,1,ALASKA,PORTLAND,389,7,51,1,2,5:00:00,6:45:00,2,3,,9,,,,1,2,1,1,2,1,3,5,5,5,4,1,3,6,6,3,4,6,4,6,4,4,9,16,,,,4,4,4,4,4,4,0,,,4,5,,,2,,,,,5,3,5,5,2,,,,1,94188,UNITED STATES,1,1,65-Over,Male,0,2,2,2,1,0.35525,105,SAN FRANCISCO,CA
427,546,839,05/21/2016 12:00:00 AM,2,7,63,E,1,1,1,2,UNITED,ATLANTA,1720,28,1,2,4,8:20:00,10:50:00,2,,,8,,,,2,2,2,2,1,1,4,6,4,4,4,4,5,4,4,6,5,6,5,6,5,5,0,,,,,5,5,5,6,6,5,0,,,5,0,,,1,5,0,,,0,5,5,5,2,,,,3,30052,UNITED STATES,12,1,65-Over,Male,0,2,2,2,1,1.757875,150,LOGANVILLE,GA
720,698,845,05/22/2016 12:00:00 AM,2,1,94,G,2,3,1,2,ANA ALL NIPPON,TOKYO-NARITA,7,9,66,8,4,8:45:00,12:20:00,2,,,2,,,,1,1,1,2,2,1,2,4,3,3,4,4,4,6,6,6,3,3,6,6,6,4,103,,,,,5,6,6,4,4,4,0,,,3,9,39,,2,,,,,1,4,4,2,2,,,,1,94538,UNITED STATES,3,1,65-Over,Male,0,2,1,2,1,0.9755176715,215,FREMONT,CA
