,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
1293,6,6,6,4,6,4,6,6,3,4,4,6,4,4
1294,4,4,4,4,4,4,4,4,5,6,6,6,6,5
1295,3,3,4,4,3,0,6,6,3,3,6,6,6,3
1296,5,4,6,4,4,5,4,4,6,6,6,6,6,6
1297,3,2,2,4,5,4,3,3,5,4,3,4,4,3
1298,3,4,2,5,4,4,3,3,6,6,6,5,6,3
1299,6,4,4,4,4,4,4,4,5,2,6,6,4,4
1300,6,3,3,4,4,4,4,4,4,4,6,6,6,4
1301,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1302,6,3,3,4,3,3,6,6,2,3,6,4,6,3
1303,3,3,3,4,4,3,6,6,3,4,4,6,4,3
1304,6,6,6,2,6,3,6,6,6,6,6,6,6,5
1305,5,6,4,5,6,5,6,6,6,6,6,6,6,5
1306,3,6,3,3,6,3,6,6,3,6,6,6,6,3
1307,4,5,5,5,5,5,6,6,5,6,5,6,6,5
1308,6,6,3,4,4,4,6,6,6,6,5,6,6,4
1309,5,3,5,5,4,5,6,6,5,6,6,6,6,4
1310,5,6,6,5,6,5,6,6,6,6,6,6,6,5
1311,4,4,4,0,5,4,4,4,0,0,5,0,0,4
1312,4,6,3,4,3,4,6,6,0,0,0,0,0,4
1313,0,2,3,2,3,3,3,3,6,6,6,6,6,3
1314,6,6,5,5,5,5,5,5,6,6,6,6,6,5
1315,4,4,5,1,4,1,6,1,5,6,4,6,6,5
1316,6,6,6,3,6,3,6,6,6,6,6,6,6,3
1317,5,4,4,5,4,4,6,6,5,3,3,4,6,5
1318,6,6,3,3,3,4,6,6,6,6,6,6,6,4
1319,6,6,6,5,6,4,6,6,6,6,6,6,6,5
1320,5,5,5,5,5,5,6,6,5,5,6,6,6,5
1321,4,5,6,2,3,3,6,4,6,6,2,6,6,4
1322,4,3,3,4,4,4,6,6,6,6,6,6,6,4
1323,5,5,5,5,5,5,6,6,5,5,5,5,6,5
1324,5,5,5,5,5,5,6,5,6,6,6,6,6,5
1325,5,4,4,5,5,5,4,5,5,5,6,6,6,4
1326,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1327,6,6,6,6,6,5,6,6,6,6,6,6,6,3
1328,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1329,3,4,4,4,4,4,3,3,4,5,4,4,4,4
1330,4,3,3,4,4,4,0,6,2,2,6,6,6,4
1331,6,3,3,4,4,5,4,4,6,6,6,6,6,4
1332,3,3,3,3,3,3,3,3,2,2,2,2,2,2
1333,3,3,3,3,6,4,6,6,6,6,6,5,6,3
1334,4,4,4,5,4,4,4,4,4,3,4,4,3,4
1335,5,4,6,5,5,5,6,6,5,6,5,6,6,5
1336,4,3,3,4,4,4,4,3,4,4,4,4,2,4
1337,6,3,6,5,6,5,6,6,6,6,6,6,6,4
1338,6,3,3,3,6,3,6,3,6,3,4,6,4,4
1339,4,3,3,4,3,4,6,6,4,4,4,3,6,3
1340,6,3,3,4,3,4,4,5,4,2,2,6,2,3
1341,6,4,4,5,5,5,6,6,4,4,6,5,6,4
1342,6,3,3,2,3,2,6,6,4,4,4,6,4,4
1343,3,3,3,4,4,5,3,3,6,6,6,6,6,3
1344,3,3,3,4,4,2,6,5,6,6,5,6,6,3
1345,5,3,3,2,4,3,6,6,2,2,4,3,6,3
1346,6,6,6,5,5,5,6,6,6,6,6,6,6,4
1347,6,6,6,3,3,3,6,6,6,6,3,6,6,4
1348,5,4,4,4,5,5,4,4,4,4,6,4,6,4
1349,5,3,3,4,5,4,0,0,5,3,0,0,0,0
1350,2,3,3,3,4,3,3,3,3,3,6,6,6,3
1351,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1352,4,3,4,5,5,4,3,3,4,4,6,4,6,4
1353,2,3,2,4,5,2,6,6,6,6,4,6,6,4
1354,4,3,3,4,4,4,6,2,4,6,6,6,6,4
1355,3,3,4,5,4,4,4,4,4,4,5,5,5,4
1356,6,6,6,0,4,6,6,6,6,6,6,6,6,5
1357,5,4,4,5,5,5,4,4,3,3,3,3,3,4
1358,4,3,3,4,4,4,3,3,6,6,6,6,6,4
1359,4,4,4,5,5,5,4,4,4,4,6,6,6,4
1360,5,3,3,2,3,3,0,0,0,0,0,0,0,3
1361,6,2,3,4,3,3,6,6,3,2,2,6,4,3
1362,3,3,4,5,5,5,6,6,4,4,6,6,6,4
1363,4,4,3,4,5,4,3,3,6,6,6,6,6,4
1364,4,3,3,1,4,4,3,3,1,3,3,4,4,4
1365,5,6,6,4,4,5,6,6,4,3,6,4,6,4
1366,5,5,5,5,5,5,6,6,6,6,6,6,6,5
1367,5,4,4,4,4,4,6,4,6,6,4,6,6,4
1368,5,4,5,5,5,5,5,5,6,6,6,6,6,5
1369,3,4,3,4,0,4,4,4,5,6,6,6,6,4
1370,4,4,3,5,5,5,4,4,5,6,6,6,6,4
1371,4,3,3,4,4,4,6,6,4,6,6,6,6,4
1372,5,4,4,3,3,3,3,3,6,6,6,6,6,3
1373,6,6,4,4,4,4,6,6,4,6,6,6,6,4
1374,4,4,4,4,4,4,4,4,4,4,4,4,4,4
