,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,WIFI,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
0,5,5,5,4,5,3,3,3,3,2,6,4,5,5,5
1,6,6,2,4,5,5,6,6,3,5,4,5,4,6,5
2,6,3,3,5,4,4,6,6,4,2,2,6,1,6,4
3,6,5,5,5,5,5,5,5,5,5,4,6,4,6,5
4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5
5,5,5,4,4,5,5,4,4,5,5,6,5,6,6,4
6,5,4,4,5,5,5,5,5,5,4,6,6,6,6,5
7,4,4,4,5,5,5,4,4,5,4,4,4,4,4,4
8,4,4,4,5,4,5,6,6,6,6,6,6,6,6,5
9,5,4,3,4,3,3,3,3,5,3,6,4,6,6,4
10,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3
11,5,4,4,5,5,5,4,5,5,5,5,5,6,5,5
12,4,4,4,4,4,4,6,6,6,4,4,6,3,6,4
13,4,4,4,4,4,4,4,4,5,4,6,6,6,6,5
14,4,4,5,5,5,5,4,3,4,6,6,6,6,6,4
15,4,4,3,3,3,3,6,6,2,3,3,3,6,2,4
16,6,3,3,3,3,3,3,3,3,6,6,6,6,6,5
17,5,4,4,5,4,4,6,6,5,4,4,4,5,6,4
18,0,4,4,5,4,5,4,4,4,4,6,6,6,6,4
19,6,4,3,4,3,3,4,4,4,3,6,6,6,6,4
20,6,4,6,4,5,5,4,4,6,6,4,6,6,6,5
21,6,4,6,5,5,6,6,6,3,4,6,5,6,5,4
22,6,4,6,4,4,4,6,6,6,4,4,6,4,4,4
23,6,4,6,1,3,6,6,6,6,6,6,6,6,6,3
24,6,2,2,5,5,5,6,6,6,6,6,6,6,6,4
25,6,4,3,4,4,4,4,6,4,4,6,3,6,3,4
26,6,6,6,4,5,5,5,5,6,6,6,4,6,6,4
27,0,4,0,4,4,4,4,4,0,5,4,0,0,0,4
28,4,3,3,5,5,4,4,4,4,5,4,4,6,6,4
29,5,2,3,3,3,3,6,6,6,2,6,4,6,6,3
30,6,2,3,4,4,4,6,6,6,4,4,6,4,6,4
31,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
32,6,4,6,4,4,4,6,6,6,6,6,4,6,6,4
33,6,4,6,4,4,4,6,6,1,0,0,0,0,0,4
34,2,5,6,5,6,6,6,6,5,5,4,6,5,6,0
35,3,3,4,0,4,4,6,6,6,6,6,4,6,6,4
36,6,4,4,3,6,3,3,3,3,3,6,6,6,6,3
37,3,3,3,4,4,4,3,3,4,5,4,6,6,6,4
38,5,6,5,5,4,5,6,6,6,5,6,5,6,5,5
39,4,4,4,5,4,5,5,5,6,5,6,6,6,6,5
40,6,4,3,4,4,4,6,6,5,3,6,5,6,2,4
41,6,4,6,4,6,4,6,6,4,3,6,4,6,4,4
42,4,4,4,3,4,2,3,3,4,4,3,4,2,3,3
43,3,6,6,3,3,6,6,6,6,3,6,3,6,3,3
44,4,6,6,5,6,4,4,5,6,4,6,6,6,6,4
45,3,3,3,4,3,3,3,3,4,3,3,6,6,6,3
46,3,3,6,5,6,5,6,6,6,6,6,6,6,6,4
47,6,3,3,5,5,5,4,4,6,4,6,5,6,5,4
48,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
49,3,3,4,4,3,4,6,6,6,3,3,2,6,2,4
50,4,6,6,5,6,4,3,3,6,5,6,6,6,6,4
51,5,4,5,5,6,0,6,6,5,6,6,6,6,6,5
52,3,6,6,4,4,4,4,4,5,6,6,2,6,6,4
53,6,6,6,5,5,5,5,5,5,5,6,5,6,6,5
54,1,3,2,4,6,0,2,6,6,6,6,6,6,6,3
55,3,3,3,4,3,4,6,6,6,3,3,4,4,6,3
56,3,3,2,4,4,4,6,6,6,3,3,6,6,6,3
57,6,2,6,5,5,5,5,5,6,5,5,6,6,6,4
58,4,4,0,5,4,5,6,6,6,6,6,6,6,6,5
59,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
60,4,4,4,3,4,4,5,5,5,4,4,4,4,6,4
61,6,4,6,5,5,5,6,6,4,5,4,5,6,3,4
62,2,3,3,3,3,3,3,3,3,3,6,6,6,6,3
63,5,3,4,3,2,3,3,1,3,4,4,4,4,4,4
64,6,6,4,5,5,5,5,5,4,5,5,5,6,6,5
65,4,4,4,5,4,4,5,5,4,4,4,4,0,0,4
66,5,4,4,4,4,4,4,4,4,4,4,4,3,3,5
67,6,3,3,4,3,4,3,3,3,0,4,4,3,4,3
68,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3
69,2,1,2,4,3,3,6,3,6,6,6,3,6,6,2
70,3,4,4,4,3,3,6,6,6,6,6,6,6,6,4
71,4,3,4,4,4,4,4,3,5,3,3,5,2,6,4
72,5,4,4,4,5,4,3,3,4,5,6,5,6,6,4
73,4,5,5,4,5,5,4,4,6,4,6,5,6,4,5
74,4,4,6,5,4,5,5,5,6,4,6,6,6,6,5
75,2,2,2,4,4,4,6,6,5,4,3,5,3,6,3
76,5,5,4,5,5,5,4,4,5,3,4,4,3,4,5
