,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
0,4,4,4,4,4,5,6,6,4,5,6,5,6,4
1,6,4,6,4,5,3,4,2,5,3,5,6,6,4
2,6,6,3,4,3,6,6,3,2,6,6,6,6,3
3,5,4,4,4,6,6,6,6,5,6,6,6,6,5
4,5,3,3,4,4,4,6,6,4,4,4,4,4,4
5,3,4,4,4,3,4,4,4,3,3,2,6,2,3
6,3,3,4,5,0,5,4,4,0,0,6,6,6,4
7,6,6,5,5,5,6,6,6,5,6,6,6,6,5
8,6,5,5,5,6,5,6,5,6,6,6,6,6,5
9,4,3,3,5,5,5,6,5,6,6,6,6,6,4
10,6,5,5,5,5,5,5,5,5,5,6,6,6,5
11,2,4,3,4,4,4,2,4,2,3,5,3,5,4
12,6,3,3,5,6,4,6,6,4,6,6,6,6,4
13,6,3,3,3,3,3,3,4,2,2,3,6,1,4
14,1,3,3,4,3,4,6,6,4,6,3,6,3,3
15,6,5,4,4,4,4,6,6,2,6,1,6,6,4
16,4,6,6,5,5,5,6,6,6,6,4,6,6,5
17,6,6,3,2,6,2,6,4,6,6,3,6,6,3
18,6,6,3,5,6,5,6,4,4,6,6,6,6,4
19,5,6,6,4,5,5,5,0,6,6,6,6,6,4
20,5,5,5,5,5,5,3,3,4,6,6,6,6,5
21,5,5,3,5,5,5,0,0,6,6,6,6,6,4
22,5,6,6,5,4,4,6,6,3,6,5,6,0,4
23,6,4,6,4,4,4,6,6,6,6,6,6,6,4
24,5,6,6,4,5,5,6,6,5,6,6,6,6,4
25,4,4,3,3,4,4,6,6,6,6,6,6,6,4
26,4,4,4,5,5,5,6,6,3,6,6,6,6,4
27,4,4,4,4,4,4,6,4,4,6,6,6,6,4
28,4,4,4,3,0,0,0,0,0,0,0,0,0,4
29,3,4,4,4,4,3,4,4,4,4,4,4,4,4
30,5,3,3,4,4,4,6,0,4,4,5,0,4,4
31,4,5,5,5,5,5,4,4,4,6,6,6,6,3
