,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
0,4,4,3,4,4,5,4,4,4,6,5,5,6,4
1,3,4,0,0,5,5,5,5,5,5,0,0,0,5
2,6,6,6,5,5,5,5,5,5,4,5,6,5,5
3,6,6,6,6,6,6,6,6,6,6,6,6,6,6
4,4,4,2,4,4,5,6,6,6,6,6,6,6,4
5,6,6,4,5,5,5,6,6,6,6,6,6,6,4
6,4,4,4,0,0,0,0,0,6,6,6,6,6,4
7,6,6,4,5,5,6,6,6,4,6,5,6,5,5
8,6,6,3,4,3,4,6,6,6,6,5,6,5,4
9,4,6,6,4,6,4,6,6,0,0,0,0,0,0
10,3,4,4,4,4,4,6,6,4,4,6,5,6,4
11,6,6,4,4,4,4,4,4,6,6,6,6,6,4
12,4,4,6,3,4,4,4,4,6,6,6,6,6,4
13,6,4,4,4,4,5,6,6,4,6,6,6,6,4
14,6,4,6,4,5,5,6,6,6,6,6,6,6,4
15,6,6,6,1,4,2,5,5,6,6,6,6,6,5
16,4,4,4,3,4,3,4,4,5,5,5,5,5,4
17,3,2,2,3,3,3,6,6,3,4,4,6,4,3
18,5,3,5,5,5,5,5,5,0,0,0,5,0,5
19,3,3,3,4,3,4,6,6,6,6,6,6,6,4
20,6,6,6,4,6,5,6,6,6,6,6,6,6,3
21,2,2,2,3,6,4,6,6,6,6,6,6,6,3
22,3,2,3,5,5,5,6,6,6,6,5,6,6,4
23,4,3,3,4,4,4,6,6,4,6,3,6,3,4
24,6,6,6,4,4,4,6,6,6,6,6,6,6,4
25,6,5,5,5,6,4,4,4,4,6,6,6,6,4
26,6,6,3,4,4,4,4,6,6,6,4,6,6,3
27,4,4,4,5,6,5,6,4,6,6,6,6,6,4
28,4,6,4,4,6,4,6,6,6,6,6,6,6,4
29,6,3,6,4,6,6,6,6,6,6,6,6,6,3
30,3,3,3,3,3,3,3,3,3,3,3,3,3,3
31,4,6,4,4,6,4,6,5,4,6,6,6,6,4
32,3,3,3,3,3,3,3,3,3,3,3,3,3,4
33,4,3,3,4,4,3,6,3,6,6,6,6,6,3
34,6,6,6,4,4,4,6,6,4,6,6,6,6,4
35,6,6,6,4,6,4,6,6,4,6,6,6,6,4
36,5,4,3,5,5,5,4,3,6,6,6,6,6,4
37,6,4,6,5,5,5,0,5,6,6,6,6,6,4
38,6,6,4,4,4,4,6,6,4,4,6,6,6,4
39,4,6,4,5,6,5,6,6,6,6,6,6,6,5
40,3,2,3,4,6,3,6,6,6,6,6,6,6,4
41,4,6,6,3,3,3,4,6,6,6,6,6,6,4
42,5,0,5,5,0,5,5,5,6,6,6,6,6,5
43,3,6,6,3,4,4,1,3,5,5,6,6,6,4
44,6,3,6,5,5,4,6,6,6,6,6,6,6,4
45,5,4,6,5,4,4,5,5,4,4,6,6,6,5
46,6,4,3,4,4,2,3,6,6,6,6,6,6,4
47,6,3,6,4,0,4,0,0,6,6,6,6,6,6
48,6,6,6,5,5,5,6,6,4,6,4,6,4,5
49,4,4,6,5,4,6,5,5,6,6,6,6,6,4
50,6,4,4,3,3,4,3,3,4,4,4,6,4,4
51,6,2,2,4,4,4,6,6,4,6,5,6,6,4
52,4,3,3,4,4,4,6,6,4,6,6,6,6,5
53,6,4,6,5,5,5,6,6,6,6,5,6,6,4
54,5,5,6,5,5,5,6,6,5,5,6,6,6,5
55,4,4,4,4,4,4,4,4,0,0,0,0,0,4
56,5,5,5,5,5,5,5,5,5,5,6,6,6,5
57,3,6,6,5,5,5,5,5,5,5,5,5,5,5
58,3,3,3,4,4,5,3,6,6,6,6,6,6,4
59,4,3,3,3,3,2,3,3,4,4,4,4,6,3
60,4,4,4,4,4,4,4,6,6,6,6,6,6,3
61,4,4,4,5,5,5,5,5,6,6,6,6,6,5
62,4,4,4,5,5,5,5,5,6,6,6,6,6,5
63,5,3,5,5,5,5,5,5,6,6,6,6,6,5
64,6,6,6,5,5,5,6,6,6,6,6,6,6,4
65,4,3,3,3,3,3,3,3,4,4,4,4,4,4
66,4,6,6,5,4,5,6,5,6,6,6,6,6,4
67,4,3,6,4,4,4,6,6,6,6,6,6,6,0
68,6,6,6,4,6,3,6,6,4,6,4,6,3,4
69,4,6,5,3,5,4,6,6,6,6,6,6,6,4
70,4,6,5,5,5,5,6,6,6,6,6,6,6,4
71,6,6,6,4,5,5,6,6,6,6,6,6,6,5
72,6,6,6,5,5,5,5,2,6,6,6,6,6,4
73,6,3,3,4,5,5,6,6,6,6,6,6,6,4
74,5,6,4,4,4,4,6,6,4,6,5,6,3,4
75,3,4,3,4,4,4,4,4,4,4,4,4,4,4
76,3,2,3,4,4,4,3,2,4,6,6,6,6,3
77,3,4,4,4,5,4,4,4,6,6,6,6,6,4
78,2,3,3,3,3,3,3,3,3,3,3,3,3,3
79,3,3,0,4,4,4,0,4,6,6,6,6,6,4
80,5,4,4,4,4,4,6,6,6,6,6,6,6,4
81,4,4,4,4,4,4,4,4,6,6,6,6,6,4
82,4,4,3,3,3,4,3,3,4,4,5,4,3,4
83,3,3,3,5,5,4,6,6,6,6,6,6,6,4
84,5,5,5,5,5,5,5,5,6,6,6,6,6,5
85,4,3,2,3,3,4,0,3,5,6,6,6,6,3
86,3,4,4,4,4,4,4,6,6,6,6,6,6,4
87,4,3,2,1,3,2,2,2,3,2,5,1,1,2
88,4,3,4,4,4,5,4,4,4,4,6,6,6,4
89,4,6,4,3,3,4,0,0,4,6,0,6,4,4
90,0,0,0,0,0,0,0,0,0,0,0,0,0,4
91,4,3,4,4,4,2,6,6,5,6,4,6,6,4
92,4,3,4,4,5,5,3,4,6,6,6,6,6,4
93,6,4,4,5,5,4,6,6,3,4,4,6,6,4
94,3,4,6,4,5,5,6,6,6,6,6,6,6,4
95,0,0,0,3,4,3,3,3,4,6,4,4,4,0
96,3,3,3,4,4,4,3,3,4,4,4,6,4,4
97,3,3,3,3,3,3,3,3,3,3,3,3,3,3
98,4,4,4,4,4,5,4,4,6,6,6,6,5,4
99,3,3,4,3,4,4,6,6,4,6,4,6,4,4
100,5,5,5,5,5,5,5,5,4,4,6,6,6,5
101,4,4,4,3,5,5,4,4,4,6,6,6,6,4
102,4,6,4,5,5,4,6,6,5,6,6,4,6,5
103,4,3,3,4,0,3,6,6,4,4,6,6,6,3
104,6,2,2,4,4,3,6,6,6,6,6,6,6,3
105,5,4,4,4,4,4,3,6,3,6,4,6,4,4
106,5,6,4,4,5,4,6,6,6,6,6,6,6,4
107,5,5,5,3,5,5,6,6,5,6,6,6,6,5
108,2,6,4,5,5,5,6,6,6,6,6,6,6,3
109,5,3,2,3,2,3,6,6,4,4,4,6,3,4
110,2,3,2,2,3,3,2,2,6,6,6,6,6,3
