,ART,FOOD,STORE,SIGN,WALKWAYS,SCREENS,INFODOWN,INFOUP,WIFI,ROADS,PARK,AIRTRAIN,LTPARKING,RENTAL,ALL
2563,3,3,3,4,4,5,4,4,5,4,4,0,0,4,4
2564,5,3,3,4,4,4,6,6,4,4,6,4,6,4,4
2565,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2566,4,4,4,5,4,4,6,6,4,6,6,4,6,4,5
2567,5,1,1,5,5,4,4,6,4,4,6,6,6,6,4
2568,4,4,3,3,3,3,6,6,4,3,6,4,6,3,4
2569,5,5,4,4,5,5,6,6,5,5,4,6,5,6,5
2570,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2571,5,5,6,5,6,5,6,6,6,6,6,6,6,6,5
2572,6,5,6,4,5,5,6,6,5,6,6,6,6,6,4
2573,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5
2574,5,5,5,5,5,5,6,6,6,4,4,4,4,4,4
2575,4,4,4,4,4,4,6,6,6,1,6,6,6,2,3
2576,3,3,3,3,3,4,4,4,4,6,6,6,6,6,4
2577,4,4,3,3,3,3,6,6,6,6,6,6,6,6,3
2578,3,2,3,4,4,4,4,4,4,6,6,6,6,6,3
2579,5,6,6,5,5,5,5,5,6,5,6,5,6,5,5
2580,3,3,3,3,3,2,3,3,4,3,3,5,6,6,3
2581,4,3,4,4,4,4,6,6,1,2,6,4,6,4,4
2582,3,3,3,3,3,3,6,6,3,2,6,4,6,3,3
2583,4,6,0,6,6,6,6,6,6,6,6,6,6,6,5
2584,6,3,3,4,4,4,6,6,5,6,6,6,6,6,4
2585,4,2,2,3,3,3,3,3,2,3,3,4,3,3,3
2586,4,2,3,3,4,3,6,6,6,3,3,6,6,6,4
2587,3,4,4,4,6,3,6,6,6,3,6,6,6,6,4
2588,5,4,4,5,5,5,5,5,5,1,4,6,3,3,4
2589,4,4,4,4,4,4,4,4,4,3,4,6,6,6,4
2590,0,3,3,4,4,3,3,3,6,3,6,6,6,6,4
2591,3,3,4,4,3,4,1,1,5,4,3,5,3,3,4
2592,1,2,2,2,2,2,2,2,3,2,3,2,3,6,2
2593,6,2,2,2,1,1,6,6,2,2,6,2,6,6,2
2594,3,3,3,4,4,4,4,4,3,4,4,4,4,6,3
2595,5,3,3,3,4,3,6,6,4,3,3,6,6,6,3
2596,5,3,6,5,5,5,6,6,6,3,6,6,6,6,4
2597,5,3,3,4,4,4,4,4,6,3,3,3,3,3,4
2598,4,4,4,4,4,5,5,5,4,5,6,5,6,5,5
2599,5,3,3,4,5,5,4,4,2,3,2,4,1,4,3
2600,2,3,3,4,5,5,6,6,4,4,3,5,5,3,4
2601,6,2,4,2,3,2,3,2,4,6,6,6,6,6,3
2602,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2603,4,3,3,4,5,4,4,4,4,3,6,5,6,2,4
2604,4,3,2,4,4,4,6,6,3,4,6,4,6,4,3
2605,5,5,5,5,5,5,5,5,6,5,6,6,6,6,5
2606,5,5,6,5,5,5,5,5,5,4,6,3,6,6,5
2607,4,3,3,2,3,4,3,3,3,4,4,4,6,6,4
2608,5,5,4,4,4,4,4,4,1,4,6,6,6,6,4
2609,3,5,5,5,3,3,6,6,5,3,6,5,3,3,5
2610,4,4,4,4,4,4,5,5,6,4,6,5,6,4,4
2611,4,5,4,5,5,5,3,3,4,5,4,5,5,6,5
2612,6,5,5,5,6,5,5,5,5,6,5,6,6,6,5
2613,4,6,6,4,4,4,6,6,4,4,4,4,6,4,4
2614,3,2,2,4,4,4,4,4,4,4,3,4,6,6,3
2615,2,3,2,4,4,3,4,4,6,4,6,6,6,6,3
2616,5,5,5,5,4,5,4,5,4,5,5,6,5,6,5
2617,5,6,5,5,5,5,4,6,6,5,5,5,6,5,5
2618,4,5,5,5,4,4,5,5,5,3,6,3,6,6,4
2619,4,4,4,5,4,4,6,6,5,4,6,5,6,4,5
2620,5,5,4,5,5,5,6,6,4,4,4,4,4,6,5
2621,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5
2622,3,4,4,4,0,3,6,6,5,6,6,6,6,6,4
2623,4,4,4,4,4,4,6,6,4,4,6,4,6,4,4
2624,4,5,4,4,4,4,4,4,4,4,6,6,6,6,4
2625,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4
2626,5,5,5,5,5,5,6,6,5,5,6,6,6,6,5
2627,3,3,3,4,4,4,3,3,4,3,3,4,4,3,3
2628,4,6,6,4,4,4,6,6,4,6,6,4,6,6,4
2629,3,3,4,4,5,4,4,4,5,3,6,4,6,2,4
2630,5,5,5,5,5,5,5,5,3,4,4,4,6,6,5
2631,5,4,3,4,4,4,5,5,5,5,5,5,5,5,5
2632,4,4,4,4,4,4,6,6,4,6,6,6,6,6,4
2633,5,3,4,5,5,5,6,6,6,6,6,6,6,6,4
2634,3,4,6,4,3,2,6,6,4,4,6,6,6,4,5
2635,3,3,3,2,4,4,4,4,6,2,3,6,4,6,4
2636,6,3,4,5,5,5,6,5,5,6,6,5,6,6,4
2637,3,3,3,4,4,4,4,5,5,6,6,4,6,4,4
2638,6,6,4,5,4,4,6,6,6,4,6,6,6,6,4
2639,4,3,4,5,5,5,6,6,5,5,4,4,4,4,4
2640,4,4,3,4,3,2,6,6,5,2,1,6,6,6,3
2641,4,3,3,4,5,5,6,6,6,5,6,6,6,6,4
2642,5,5,5,5,5,5,5,5,5,5,4,6,6,6,5
2643,4,3,3,4,4,4,0,0,4,4,4,4,4,4,4
2644,3,3,3,3,4,3,3,3,3,3,6,6,6,6,4
2645,0,0,5,0,5,0,0,5,0,0,0,0,0,5,5
2646,6,6,6,4,4,5,6,5,6,4,6,4,6,4,4
2647,4,3,6,4,5,6,4,4,4,4,4,6,6,6,0
2648,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5
2649,5,4,4,5,4,5,4,4,4,4,6,5,6,6,5
2650,3,6,3,4,4,4,6,5,4,6,6,6,6,6,4
2651,3,3,3,3,3,3,3,3,3,0,0,0,0,0,4
2652,3,6,6,5,5,5,6,6,6,5,6,6,6,6,5
2653,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5
2654,2,3,3,4,4,3,3,3,4,4,6,5,6,4,3
2655,4,4,4,4,4,4,4,4,5,5,4,0,0,6,0
2656,6,6,4,5,5,5,4,4,3,4,4,6,6,6,4
2657,6,6,5,5,5,5,5,5,6,3,6,4,6,5,4
2658,5,4,3,4,4,5,4,4,6,5,6,4,6,5,4
2659,5,3,4,5,5,5,4,4,4,5,5,4,4,4,5
2660,5,4,3,4,3,4,6,6,2,6,6,5,6,6,3
2661,3,3,3,4,4,4,4,3,0,3,3,3,6,3,3
2662,6,3,4,3,3,3,6,3,4,3,6,4,6,6,4
2663,3,4,4,4,4,6,6,6,3,4,4,6,6,6,4
2664,3,3,3,3,3,3,3,3,3,6,6,6,6,6,3
2665,3,3,3,3,3,2,3,3,3,6,6,6,6,6,3
2666,4,3,4,5,6,5,6,6,4,5,4,6,5,6,5
2667,6,6,5,3,6,6,6,4,5,6,6,6,6,6,4
2668,3,5,5,5,5,5,5,5,5,4,4,4,4,4,5
2669,6,6,6,4,4,4,6,6,6,5,6,4,6,4,4
2670,4,4,4,5,4,5,6,6,6,5,6,5,6,5,4
2671,0,4,4,5,4,4,6,6,5,5,6,6,6,6,4
2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2673,0,0,0,5,4,4,0,0,0,5,5,5,5,5,5
2674,3,3,3,4,4,4,4,4,4,4,4,4,6,6,4
2675,4,4,4,4,4,4,6,4,6,4,4,6,6,6,4
2676,6,5,5,1,5,4,6,6,5,1,5,6,5,6,4
2677,4,1,3,3,4,4,6,6,6,4,6,4,6,6,4
2678,4,3,2,3,3,3,6,6,6,3,3,6,3,6,0
2679,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4
2680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2681,5,4,4,5,6,5,6,6,4,5,6,6,6,6,4
2682,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0
2683,5,5,6,5,5,5,4,4,5,6,6,5,6,6,5
2684,6,4,6,4,4,4,6,6,5,6,6,6,6,6,4
2685,5,5,5,5,5,5,6,6,6,6,6,6,6,6,4
2686,5,3,3,3,6,5,3,5,6,3,3,6,6,6,3
2687,6,4,4,4,4,4,4,4,4,6,6,6,6,6,4
2688,2,2,2,4,4,3,3,3,4,3,3,3,3,3,3
2689,5,4,3,4,4,4,5,5,6,3,3,4,6,6,5
2690,6,5,4,5,3,3,6,6,6,5,6,5,6,3,4
2691,4,4,4,5,4,4,4,4,4,6,6,6,6,6,4
2692,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6
2693,4,4,0,0,3,4,3,3,5,4,6,6,6,6,4
2694,3,6,6,0,4,4,6,6,6,5,6,5,6,3,4
2695,5,4,3,5,5,5,5,5,6,6,6,6,6,6,5
2696,0,0,0,4,0,4,0,0,0,0,0,0,0,0,5
2697,5,5,4,5,5,5,6,6,5,6,6,6,6,6,5
2698,4,4,3,5,4,5,6,6,6,6,6,4,6,6,4
2699,5,4,0,5,4,5,4,0,1,4,0,4,0,0,4
2700,6,3,3,4,4,4,3,3,4,6,6,6,6,6,3
2701,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5
2702,5,5,5,5,4,5,5,5,6,6,6,4,6,6,5
2703,3,4,4,4,4,3,0,6,6,4,4,6,5,6,4
2704,4,4,3,4,4,4,4,4,6,4,6,6,6,6,4
2705,3,4,4,5,5,5,5,5,5,4,4,6,6,6,5
2706,3,3,3,5,5,5,6,6,6,6,6,6,6,6,3
2707,4,4,4,5,5,5,6,6,4,6,6,4,6,3,4
2708,4,4,4,4,4,4,4,4,3,5,5,5,5,6,5
2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2710,3,3,3,5,3,3,3,3,3,1,3,3,3,3,3
2711,6,3,6,3,0,4,4,0,1,6,6,6,6,6,3
2712,3,3,3,4,4,4,6,6,6,6,6,6,6,6,3
2713,3,6,6,4,5,5,6,6,6,6,6,6,6,6,4
2714,5,0,5,5,5,5,6,6,6,6,6,6,6,6,5
2715,4,3,3,3,4,4,3,3,3,3,4,6,6,5,4
2716,5,4,4,5,5,5,5,5,6,6,6,6,6,6,4
2717,5,5,5,5,5,5,5,5,5,4,3,3,3,5,4
2718,4,5,3,4,4,4,5,5,3,4,3,3,3,4,4
2719,4,6,5,5,5,4,6,6,6,5,3,6,6,6,4
2720,3,3,3,4,4,4,3,3,4,6,6,4,6,6,4
2721,1,3,3,4,4,0,3,3,6,6,6,6,6,6,4
2722,0,1,6,4,4,3,4,0,5,4,3,6,6,6,3
2723,4,6,6,4,4,4,6,6,3,6,6,6,6,6,4
2724,3,6,6,2,4,2,6,6,3,3,6,4,6,3,3
2725,5,4,5,5,5,5,5,5,5,6,6,6,6,6,5
2726,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2727,4,4,4,5,4,4,3,3,3,4,6,6,6,6,4
2728,3,2,2,4,5,5,6,6,4,5,5,5,6,5,4
2729,6,4,3,4,4,4,6,6,5,4,6,6,6,6,4
2730,3,5,4,4,5,4,6,6,4,6,6,6,6,6,4
2731,5,5,5,5,5,5,5,5,5,6,6,5,6,6,5
